"ID_fish","num_fish","cage","trial","boldness","bassin_bold","date_bold","exp_bold","video_bold","exploration","activity","bassin_exp","date_act","video_act","exp_act","mass_1","mass_2","mass_3","mass_4","TL_1","TL_2","TL_3","TL_4","SL_1","SL_2","SL_3","SL_4","BS_pre","BS_post_corps","BS_muscle","BS_post_tot","P04_alive","P04_dead","P013_alive","P013_dead","P06","gonade","treatment","P04_tot","adj_mass3","adj_mass4","bs_mod","dens_tot","dens_bs2","dens_ces","fulton1","fulton2","fulton3","fulton4","log_boldness","log_activity","id","z_log_activity","z_log_boldness","z_exploration","tank1","tank2","(id = ID_fish)"
"R/RR",23,"4",2,68,1,"04/07/2022","JAP",1,0.2609277,602.03,1,"02/07/2022",13,"JAP",1.6,1.7,1.7,1.6,47.8,47.5,48.6,48.6,40.8,38.2,39.1,39.4,2,0,0,0,0,0,0,0,0,0,"C",0,1.7,1.6,0,0,0,0,0.0235580583636761,0.0304971202825081,0.0284392834096881,0.026159613141177,-0.317680957123978,-0.752646976286948,"R/RR",-0.752646976286947,-0.317680957123978,-0.341060283605416,"1","1","R/RR"
"B/BB",25,"5",1,234,4,"29/06/2022","MG",522,0.2346851,1199.58,3,"23/06/2022",954,"MG",2,1.9,1.9,1.9,50.9,48.8,50.1,51.7,39.1,41.3,39.6,40.9,4,0,0,0,0,0,0,0,0,0,"C",0,1.9,1.9,0,0,0,0,0.033457980481986,0.0269713972732514,0.0305962388913108,0.0277704985779385,0.926153124453762,1.11463055543744,"B/BB",1.11463055543744,0.926153124453762,-0.714029788371908,"4","3","B/BB"
"B/BR",28,"5",1,275,3,"28/06/2022","MG",965,0.1935484,666.86,1,"22/06/2022",946,"JAP",1.5,1.8,1.6,1.5,45.4,44.4,46.5,48.1,38.9,39.9,40.2,39.2,4,0,0,0,0,0,0,0,0,1,"C",0,1.6,1.5,0,0,0,0,0.0254825247725392,0.0283369965985686,0.0246287189827452,0.0249019328681077,1.08865094881091,-0.475643210795449,"B/BR",-0.475643210795449,1.08865094881091,-1.29867973261249,"3","1","B/BR"
"B/RG",29,"5",1,37,1,"29/06/2022","JAP",4633,0.2225225,697.01,4,"23/06/2022",4503,"MG",1.9,2.1,2.5,2.5,50,50.4,55.1,55.2,39.6,41.5,44.3,44.3,0,0,0,0,0,0,0,0,0,0,"C",0,2.5,2.5,0,0,0,0,0.0305962388913108,0.0293815704099603,0.0287560235098666,0.0287560235098666,-0.930220616764221,-0.355875318884812,"B/RG",-0.355875318884812,-0.93022061676422,-0.886889142958456,"1","4","B/RG"
"G/BG",30,"5",1,174,1,"30/06/2022","JAP",4647,0.2747748,1140.55,1,"24/06/2022",4593,"JAP",2,1.9,2.2,2.3,51.6,50.4,54.6,54.1,41.2,42.2,42.7,44,0,0,0,0,0,0,0,0,0,0,"C",0,2.2,2.3,0,0,0,0,0.0285981768547862,0.0252822806554572,0.0282578461152969,0.0270003756574004,0.627964485061045,0.977958336546669,"G/BG",0.97795833654667,0.627964485061046,-0.14426019407724,"1","1","G/BG"
"G/BR",27,"5",1,180,1,"30/06/2022","JAP",4648,0.2828829,725.64,3,"24/06/2022",958,"MG",1.9,1.7,1.9,1.9,50.5,49.4,51.3,51.3,41.4,41.4,41.7,41.5,5,0,0,0,0,0,0,0,0,0,"C",0,1.9,1.9,0,0,0,0,0.0267764240745194,0.0239578531193068,0.0262026632855853,0.0265833256090117,0.662086064455774,-0.246847524876492,"G/BR",-0.246847524876491,0.662086064455774,-0.0290248880634611,"1","3","G/BR"
"G/RB",26,"5",1,31,3,"28/06/2022","MG",964,0.2313243,1545.76,2,"22/06/2022",563,"JAP",1.3,1.2,1.6,2.6,44.7,44.5,47.4,52.1,38.1,36.3,37.2,44.8,2,0,0,0,0,0,0,0,0,0,"C",0,1.6,2.6,0,0,0,0,0.0235054421698228,0.0250877302246123,0.031080726592794,0.0289160725674198,-1.10829963991838,1.80134944923936,"G/RB",1.80134944923936,-1.10829963991838,-0.761794716832473,"3","2","G/RB"
"B/BB",25,"5",2,127,4,"05/07/2022","MG",4560,0.2234685,996.02,1,"02/07/2022",11,"JAP",2,1.9,1.9,1.9,50.9,48.8,50.1,51.7,39.1,41.3,39.6,40.9,4,0,0,0,0,0,0,0,0,0,"C",0,1.9,1.9,0,0,0,0,0.033457980481986,0.0269713972732514,0.0305962388913108,0.0277704985779385,0.3110527158533,0.610963513967586,"B/BB",0.610963513967587,0.3110527158533,-0.873444242243241,"4","1","B/BB"
"B/BR",28,"5",2,117,2,"04/07/2022","JAP",612,0.2364865,779.23,4,"01/07/2022",4536,"MG",1.5,1.8,1.6,1.5,45.4,44.4,46.5,48.1,38.9,39.9,40.2,39.2,4,0,0,0,0,0,0,0,0,1,"C",0,1.6,1.5,0,0,0,0,0.0254825247725392,0.0283369965985686,0.0246287189827452,0.0249019328681077,0.22850728275401,-0.053862432195227,"B/BR",-0.0538624321952266,0.22850728275401,-0.688427627538517,"2","4","B/BR"
"B/RG",29,"5",2,69,2,"05/07/2022","JAP",617,0.3229951,762.34,2,"02/07/2022",595,"JAP",1.9,2.1,2.5,2.5,50,50.4,55.1,55.2,39.6,41.5,44.3,44.3,0,0,0,0,0,0,0,0,0,0,"C",0,2.5,2.5,0,0,0,0,0.0305962388913108,0.0293815704099603,0.0287560235098666,0.0287560235098666,-0.302987408631509,-0.11321494146197,"B/RG",-0.113214941461969,-0.302987408631508,0.541064484525173,"2","2","B/RG"
"G/BG",30,"5",2,33,2,"06/07/2022","JAP",635,0.3338075,511.82,2,"03/07/2022",610,"JAP",2,1.9,2.2,2.3,51.6,50.4,54.6,54.1,41.2,42.2,42.7,44,0,0,0,0,0,0,0,0,0,0,"C",0,2.2,2.3,0,0,0,0,0.0285981768547862,0.0252822806554572,0.0282578461152969,0.0270003756574004,-1.04537351355893,-1.1923257930433,"G/BG",-1.1923257930433,-1.04537351355893,0.694734299000005,"2","2","G/BG"
"G/BR",27,"5",2,197,3,"06/07/2022","MG",1017,0.2437174,447.82,3,"03/07/2022",1004,"MG",1.9,1.7,1.9,1.9,50.5,49.4,51.3,51.3,41.4,41.4,41.7,41.5,5,0,0,0,0,0,0,0,0,0,"C",0,1.9,1.9,0,0,0,0,0.0267764240745194,0.0239578531193068,0.0262026632855853,0.0265833256090117,0.752918662239734,-1.55412871055695,"G/BR",-1.55412871055695,0.752918662239735,-0.585659411278846,"3","3","G/BR"
"G/RB",26,"5",2,55,2,"04/07/2022","JAP",613,0.262309,1120.79,3,"02/07/2022",992,"MG",1.3,1.2,1.6,2.6,44.7,44.5,47.4,52.1,38.1,36.3,37.2,44.8,2,0,0,0,0,0,0,0,0,0,"C",0,1.6,2.6,0,0,0,0,0.0235054421698228,0.0250877302246123,0.031080726592794,0.0289160725674198,-0.531232531313087,0.930622785675081,"G/RB",0.930622785675081,-0.531232531313086,-0.321428738829595,"2","3","G/RB"
"B/BG",33,"6",1,289,2,"30/06/2022","JAP",12,0.2822581,1155.3,3,"24/06/2022",960,"MG",2.6,2.7,3,3,56.4,54.1,57.9,57.6,47.2,49.1,46,47.4,4,0,0,0,0,0,0,0,0,0,"C",0,3,3,0,0,0,0,0.0247256292025962,0.0228096850023897,0.0308210733952494,0.0281699599603457,1.13862881377707,1.0127607844526,"B/BG",1.0127607844526,1.13862881377707,-0.0379047759776959,"2","3","B/BG"
"G/GG",31,"6",1,185,4,"29/06/2022","MG",523,0.3841382,1285.91,3,"23/06/2022",952,"MG",2.6,2.5,3.2,3.1,55.6,57.9,59,57.5,44.1,46.6,47.1,50,8,0,0,0,0,0,0,0,0,0,"C",0,3.2,3.1,0,0,0,0,0.030315000488363,0.0247048521199174,0.0306257869451477,0.0248,0.689662863359774,1.30285662165968,"G/GG",1.30285662165968,0.689662863359775,1.41005276033962,"4","3","G/GG"
"R/BG",35,"6",1,89,1,"28/06/2022","JAP",4618,0.08522167,439.98,3,"22/06/2022",4583,"MG",2.3,3.1,2.5,2.3,53.4,53,54.7,54.6,43.3,45.5,43.5,44.2,11,0,0,0,0,0,0,0,0,0,"C",0,2.5,2.3,0,0,0,0,0.0283311463125467,0.0329099713232064,0.0303719193382566,0.0266355106851941,-0.04680559475426,-1.60196610510323,"R/BG",-1.60196610510323,-0.0468055947542596,-2.83825915085129,"1","3","R/BG"
"R/BR",36,"6",1,36,2,"30/06/2022","JAP",13,0.2615519,1792.04,4,"24/06/2022",4511,"MG",2.3,2.2,2,2,53.1,51.2,51.6,52.2,43.4,43.1,43.6,43.9,0,0,0,0,0,0,0,0,0,1,"C",0,2,2,0,0,0,0,0.0281357597873543,0.0274783638797606,0.0241307337519083,0.0236393992145975,-0.957797415668222,2.20176795589613,"R/BR",2.20176795589613,-0.957797415668221,-0.332188923112353,"2","4","R/BR"
"R/RB",32,"6",1,96,2,"29/06/2022","JAP",582,0.328755,1610.36,2,"23/06/2022",572,"JAP",2.2,1.9,1.8,1.8,53.8,52.4,51.2,50.9,44,42.4,41,41.5,0,0,0,0,0,0,0,0,0,0,"C",0,1.8,1.8,0,0,0,0,0.0258264462809917,0.0249261974650215,0.0261168584321179,0.0251842032085374,0.0293976115528794,1.91224011134661,"R/RB",1.91224011134661,0.0293976115528798,0.622926306543744,"2","2","R/RB"
"R/RG",34,"6",1,123,3,"01/07/2022","MG",983,0.2413024,767.99,3,"22/06/2022",4581,"MG",2.1,1.8,1.9,1.9,51.8,50.4,52.6,52.4,44.9,44.2,43.2,43.2,0,0,0,0,0,0,0,0,0,1,"C",0,1.9,1.9,0,0,0,0,0.0231995879664798,0.0208451822753693,0.0235668946552863,0.0235668946552863,0.278842280766096,-0.093215372518743,"R/RG",-0.0932153725187426,0.278842280766096,-0.619982281497921,"3","3","R/RG"
"B/BG",33,"6",2,73,2,"05/07/2022","JAP",619,0.3481982,744.95,1,"03/07/2022",7,"JAP",2.6,2.7,3,3,56.4,54.1,57.9,57.6,47.2,49.1,46,47.4,4,0,0,0,0,0,0,0,0,0,"C",0,3,3,0,0,0,0,0.0247256292025962,0.0228096850023897,0.0308210733952494,0.0281699599603457,-0.24626873047039,-0.17571455629361,"B/BG",-0.17571455629361,-0.246268730470389,0.899260232110413,"2","1","B/BG"
"G/GG",31,"6",2,115,2,"05/07/2022","JAP",618,0.2421185,883.17,1,"02/07/2022",12,"JAP",2.6,2.5,3.2,3.1,55.6,57.9,59,57.5,44.1,46.6,47.1,50,8,0,0,0,0,0,0,0,0,0,"C",0,3.2,3.1,0,0,0,0,0.030315000488363,0.0247048521199174,0.0306257869451477,0.0248,0.211153573614332,0.285270037502553,"G/GG",0.285270037502553,0.211153573614332,-0.608383567466539,"2","1","G/GG"
"R/BG",35,"6",2,157,4,"04/07/2022","MG",4555,0.2597343,544.21,4,"02/07/2022",4540,"MG",2.3,3.1,2.5,2.3,53.4,53,54.7,54.6,43.3,45.5,43.5,44.2,11,0,0,0,0,0,0,0,0,0,"C",0,2.5,2.3,0,0,0,0,0.0283311463125467,0.0329099713232064,0.0303719193382566,0.0266355106851941,0.524487737416939,-1.02612762213131,"R/BG",-1.02612762213131,0.524487737416939,-0.358021324317401,"4","4","R/BG"
"R/BR",36,"6",2,18,4,"06/07/2022","MG",4566,0.3545045,941.9,3,"03/07/2022",1001,"MG",2.3,2.2,2,2,53.1,51.2,51.6,52.2,43.4,43.1,43.6,43.9,0,0,0,0,0,0,0,0,0,1,"C",0,2,2,0,0,0,0,0.0281357597873543,0.0274783638797606,0.0241307337519083,0.0236393992145975,-1.65544325736797,0.459645653890332,"R/BR",0.459645653890332,-1.65544325736797,0.988887692343352,"4","3","R/BR"
"R/RB",32,"6",2,175,1,"04/07/2022","JAP",2,0.3671171,766.86,2,"02/07/2022",597,"JAP",2.2,1.9,1.8,1.8,53.8,52.4,51.2,50.9,44,42.4,41,41.5,0,0,0,0,0,0,0,0,0,0,"C",0,1.8,1.8,0,0,0,0,0.0258264462809917,0.0249261974650215,0.0261168584321179,0.0251842032085374,0.633732352972775,-0.0972034895083238,"R/RB",-0.0972034895083234,0.633732352972775,1.16814261280923,"1","2","R/RB"
"R/RG",34,"6",2,82,3,"06/07/2022","MG",1019,0.1397757,618.82,1,"02/07/2022",14,"JAP",2.1,1.8,1.9,1.9,51.8,50.4,52.6,52.4,44.9,44.2,43.2,43.2,0,0,0,0,0,0,0,0,0,1,"C",0,1.9,1.9,0,0,0,0,0.0231995879664798,0.0208451822753693,0.0235668946552863,0.0235668946552863,-0.129254375412306,-0.678144436599465,"R/RG",-0.678144436599465,-0.129254375412306,-2.06291716674467,"3","1","R/RG"
"B/GB",37,"7",1,169,3,"01/07/2022","MG",985,0.1148649,476.78,3,"22/06/2022",4586,"MG",1.8,1.9,1.6,1.7,50.5,51.5,50,50.4,42.9,41,39.8,41.4,0,0,0,0,0,0,0,0,0,0,"C",0,1.6,1.7,0,0,0,0,0.0227982036383425,0.02756779501168,0.0253787814860266,0.0239578531193068,0.598618668819435,-1.38440518049923,"B/GB",-1.38440518049923,0.598618668819436,-2.41695863898207,"3","3","B/GB"
"G/GB",38,"7",1,310,2,"29/06/2022","JAP",585,0.1937015,732.63,1,"23/06/2022",4592,"JAP",2.1,2.3,2.5,2.6,53.5,53.1,56.1,55.6,44.9,43.4,44.6,45.2,2,0,0,0,0,0,0,0,0,0,"C",0,2.5,2.6,0,0,0,0,0.0231995879664798,0.0281357597873543,0.0281796394755539,0.0281551628425314,1.20922968190537,-0.220881954517835,"G/GB",-0.220881954517835,1.20922968190537,-1.29650381897665,"2","1","G/GB"
"OG/B",42,"7",1,127,1,"30/06/2022","JAP",16,0.2750424,1388.8,4,"24/06/2022",4513,"MG",2.1,2.7,2.2,2.3,50.3,50.4,51.7,53.9,41.1,43.1,41.8,44.6,14,0,0,0,0,0,0,0,0,1,"C",0,2.2,2.3,0,0,0,0,0.0302478025295546,0.0337234465797062,0.0301226957643875,0.0259252683175096,0.3110527158533,1.51133745174571,"OG/B",1.51133745174571,0.3110527158533,-0.140456964234331,"1","4","OG/B"
"OG/G",40,"7",1,662,4,"30/06/2022","MG",532,0.1271186,293.83,3,"24/06/2022",963,"MG",1.8,1.7,1.8,1.8,51.6,48.8,50.5,51.2,40.5,41,40.1,40.2,4,0,0,0,0,0,0,0,0,1,"C",0,1.8,1.8,0,0,0,0,0.0270961404934885,0.0246659218525558,0.0279151128093907,0.0277073088555884,1.97284700840325,-2.69545424270968,"OG/G",-2.69545424270968,1.97284700840325,-2.24280453761417,"4","3","OG/G"
"OO/B",39,"7",1,83,2,"01/07/2022","JAP",590,0.2895238,613.28,3,"22/06/2022",4584,"MG",1.8,2,1.8,1.9,49,50.5,51.5,49,40.1,42.1,39.1,41.8,4,0,0,0,0,0,0,0,0,1,"C",0,1.8,1.9,0,0,0,0,0.0279151128093907,0.0268030186256455,0.0301121824337874,0.0260150554328801,-0.117054344872901,-0.702501338120762,"OO/B",-0.702501338120762,-0.117054344872901,0.065358030709976,"2","3","OO/B"
"R/GB",41,"7",1,414,1,"29/06/2022","JAP",2,0.2007089,621.97,4,"23/06/2022",4508,"MG",1.8,1.8,2,2.2,51.7,50,51.8,53.2,42.8,41.1,41.6,42.6,0,0,0,0,0,0,0,0,0,0,"C",0,2,2.2,0,0,0,0,0.0229583777875552,0.0259266878824754,0.0277811362084661,0.0284573125307274,1.5004009309464,-0.664392352854524,"R/GB",-0.664392352854524,1.5004009309464,-1.19691206710372,"1","4","R/GB"
"B/GB",37,"7",2,87,4,"06/07/2022","MG",4571,0.3148148,431.65,4,"02/07/2022",4543,"MG",1.8,1.9,1.6,1.7,50.5,51.5,50,50.4,42.9,41,39.8,41.4,0,0,0,0,0,0,0,0,0,0,"C",0,1.6,1.7,0,0,0,0,0.0227982036383425,0.02756779501168,0.0253787814860266,0.0239578531193068,-0.0696813566387066,-1.65373648601628,"B/GB",-1.65373648601628,-0.0696813566387062,0.424803045496978,"4","4","B/GB"
"G/GB",38,"7",2,76,3,"04/07/2022","MG",1009,0.2981982,435.74,1,"02/07/2022",18,"JAP",2.1,2.3,2.5,2.6,53.5,53.1,56.1,55.6,44.9,43.4,44.6,45.2,2,0,0,0,0,0,0,0,0,0,"C",0,2.5,2.6,0,0,0,0,0.0231995879664798,0.0281357597873543,0.0281796394755539,0.0281551628425314,-0.205733445828646,-1.62819374958367,"G/GB",-1.62819374958367,-0.205733445828646,0.188641801073678,"3","1","G/GB"
"OG/B",42,"7",2,378,2,"05/07/2022","JAP",622,0.311956,893.12,2,"03/07/2022",605,"JAP",2.1,2.7,2.2,2.3,50.3,50.4,51.7,53.9,41.1,43.1,41.8,44.6,14,0,0,0,0,0,0,0,0,1,"C",0,2.2,2.3,0,0,0,0,0.0302478025295546,0.0337234465797062,0.0301226957643875,0.0259252683175096,1.408838728059,0.315613774015524,"OG/B",0.315613774015524,1.408838728059,0.384172726084021,"2","2","OG/B"
"OG/G",40,"7",2,743,4,"05/07/2022","MG",4565,0.1699074,616.19,4,"03/07/2022",4549,"MG",1.8,1.7,1.8,1.8,51.6,48.8,50.5,51.2,40.5,41,40.1,40.2,4,0,0,0,0,0,0,0,0,1,"C",0,1.8,1.8,0,0,0,0,0.0270961404934885,0.0246659218525558,0.0279151128093907,0.0277073088555884,2.08902666369408,-0.689680064455766,"OG/G",-0.689680064455766,2.08902666369408,-1.63467433917528,"4","4","OG/G"
"OO/B",39,"7",2,28,1,"06/07/2022","JAP",4676,0.3394539,809.29,2,"02/07/2022",599,"JAP",1.8,2,1.8,1.9,49,50.5,51.5,49,40.1,42.1,39.1,41.8,4,0,0,0,0,0,0,0,0,1,"C",0,1.8,1.9,0,0,0,0,0.0279151128093907,0.0268030186256455,0.0301121824337874,0.0260150554328801,-1.21074292387571,0.0486563508704211,"OO/B",0.0486563508704215,-1.21074292387571,0.774983017180122,"1","2","OO/B"
"R/GB",41,"7",2,74,2,"04/07/2022","JAP",614,0.2564815,406.79,1,"02/07/2022",16,"JAP",1.8,1.8,2,2.2,51.7,50,51.8,53.2,42.8,41.1,41.6,42.6,0,0,0,0,0,0,0,0,0,0,"C",0,2,2.2,0,0,0,0,0.0229583777875552,0.0259266878824754,0.0277811362084661,0.0284573125307274,-0.232574775064468,-1.81439796418368,"R/GB",-1.81439796418368,-0.232574775064468,-0.404251316966927,"2","1","R/GB"
"OB/O",44,"8",1,319,2,"01/07/2022","JAP",589,0.2290651,870.74,2,"22/06/2022",567,"JAP",2.3,2.8,2.7,3.1,56.1,56,55.8,56.2,47.2,46.1,44.9,46.8,4,0,0,0,0,0,0,0,0,1,"C",0,2.7,3.1,0,0,0,0,0.021872671986912,0.028579541370014,0.0298280416711883,0.0302429488272136,1.23803422887009,0.246879304724264,"OB/O",0.246879304724264,1.23803422887009,-0.793903300020438,"2","2","OB/O"
"OG/O",46,"8",1,44,2,"30/06/2022","JAP",586,0.2139776,1124.12,3,"24/06/2022",961,"MG",2.3,2.2,2.3,2.3,53.2,53.3,53.9,53.9,45.8,44.1,43.2,45.1,6,0,0,0,0,0,0,0,0,1,"C",0,2.3,2.3,0,0,0,0,0.0239403999787159,0.0256511542593841,0.0285283461616623,0.025072532930074,-0.755824328037579,0.93865806398829,"OG/O",0.93865806398829,-0.755824328037578,-1.00833241158577,"2","3","OG/O"
"OO/G",43,"8",1,125,4,"28/06/2022","MG",13,0.2516615,859.44,2,"22/06/2022",568,"JAP",2.2,2.4,2.3,2.2,50.5,52.6,54.1,53.3,43.4,43.3,42.8,44.5,4,0,0,0,0,0,0,0,0,1,"C",0,2.3,2.2,0,0,0,0,0.0269124658835563,0.0295629352826574,0.029335704950765,0.0249656367868658,0.295076345547952,0.211500053482763,"OO/G",0.211500053482763,0.295076345547952,-0.472754933718868,"4","2","OO/G"
"OO/O",45,"8",1,136,3,"30/06/2022","MG",981,0.2240437,1512.87,1,"24/06/2022",5,"JAP",3.2,3.1,3.8,4.1,59.4,61.3,63.1,66.1,50.5,48.8,51.3,51.5,2,0,0,0,0,0,0,0,0,0,"C",0,3.8,4.1,0,0,0,0,0.0248471077869477,0.0266748648565298,0.0281469603464215,0.0300166464267836,0.379964884575774,1.74309769937804,"OO/O",1.74309769937804,0.379964884575774,-0.865269287812594,"3","1","OO/O"
"R/GG",47,"8",1,30,3,"29/06/2022","MG",974,0.2222222,899.2,4,"23/06/2022",4506,"MG",2.9,2.7,2.9,2.9,56.8,58.6,58.3,59,45.9,47.8,46.7,46.5,0,0,0,0,0,0,0,0,0,1,"C",0,2.9,2.9,0,0,0,0,0.029988858932087,0.0247217991844224,0.0284739262735231,0.0288429142781128,-1.14130227512213,0.333989520914044,"R/GG",0.333989520914044,-1.14130227512213,-0.891157117255263,"3","4","R/GG"
"R/GR",48,"8",1,227,2,"29/06/2022","JAP",584,0.3777589,1421.29,2,"23/06/2022",1,"JAP",2.3,1.8,2.2,2.7,51.5,53.2,54.1,54.2,44.1,43.2,43.3,44.1,2,0,0,0,0,0,0,0,0,0,"C",0,2.2,2.7,0,0,0,0,0.0268171158166288,0.0223265317786923,0.027099357342436,0.0314809620456077,0.895584912195956,1.57397058543595,"R/GR",1.57397058543595,0.895584912195956,1.31938779719737,"2","2","R/GR"
"OB/O",44,"8",2,281,2,"06/07/2022","JAP",638,0.2893221,778.71,2,"02/07/2022",600,"JAP",2.3,2.8,2.7,3.1,56.1,56,55.8,56.2,47.2,46.1,44.9,46.8,4,0,0,0,0,0,0,0,0,1,"C",0,2.7,3.1,0,0,0,0,0.021872671986912,0.028579541370014,0.0298280416711883,0.0302429488272136,1.11037460209111,-0.0556704717945247,"OB/O",-0.0556704717945243,1.11037460209111,0.0624913959591743,"2","2","OB/O"
"OG/O",46,"8",2,69,1,"05/07/2022","JAP",4660,0.2800546,725.2,4,"03/07/2022",4546,"MG",2.3,2.2,2.3,2.3,53.2,53.3,53.9,53.9,45.8,44.1,43.2,45.1,6,0,0,0,0,0,0,0,0,1,"C",0,2.3,2.3,0,0,0,0,0.0239403999787159,0.0256511542593841,0.0285283461616623,0.025072532930074,-0.302987408631509,-0.248490339179608,"OG/O",-0.248490339179608,-0.302987408631508,-0.0692217302334852,"1","4","OG/O"
"OO/G",43,"8",2,65,1,"04/07/2022","JAP",5,0.3747748,702.3,4,"02/07/2022",4545,"MG",2.2,2.4,2.3,2.2,50.5,52.6,54.1,53.3,43.4,43.3,42.8,44.5,4,0,0,0,0,0,0,0,0,1,"C",0,2.3,2.2,0,0,0,0,0.0269124658835563,0.0295629352826574,0.029335704950765,0.0249656367868658,-0.363094232878305,-0.335396773287889,"OO/G",-0.335396773287889,-0.363094232878304,1.27697666799623,"1","4","OO/G"
"OO/O",45,"8",2,40,1,"06/07/2022","JAP",4677,0.2729287,813.04,4,"03/07/2022",4548,"MG",3.2,3.1,3.8,4.1,59.4,61.3,63.1,66.1,50.5,48.8,51.3,51.5,2,0,0,0,0,0,0,0,0,0,"C",0,3.8,4.1,0,0,0,0,0.0248471077869477,0.0266748648565298,0.0281469603464215,0.0300166464267836,-0.851753089600784,0.0611776141751926,"OO/O",0.0611776141751929,-0.851753089600783,-0.170497647787978,"1","4","OO/O"
"R/GG",47,"8",2,91,3,"05/07/2022","MG",1014,0.3498117,819.51,4,"02/07/2022",4542,"MG",2.9,2.7,2.9,2.9,56.8,58.6,58.3,59,45.9,47.8,46.7,46.5,0,0,0,0,0,0,0,0,0,1,"C",0,2.9,2.9,0,0,0,0,0.029988858932087,0.0247217991844224,0.0284739262735231,0.0288429142781128,-0.0244382254534814,0.0826458011661601,"R/GG",0.0826458011661605,-0.024438225453481,0.922191888879968,"3","4","R/GG"
"R/GR",48,"8",2,189,4,"04/07/2022","MG",4559,0.3177388,835.51,3,"02/07/2022",993,"MG",2.3,1.8,2.2,2.7,51.5,53.2,54.1,54.2,44.1,43.2,43.3,44.1,2,0,0,0,0,0,0,0,0,0,"C",0,2.2,2.7,0,0,0,0,0.0268171158166288,0.0223265317786923,0.027099357342436,0.0314809620456077,0.711192886359248,0.135016162824734,"R/GR",0.135016162824734,0.711192886359248,0.466360011344006,"4","3","R/GR"
"B/OB",52,"9",1,224,2,"28/06/2022","JAP",580,0.2986265,1094.83,2,"22/06/2022",566,"JAP",1.9,2.1,2.2,2.1,51.1,51.2,54.3,54.2,43.4,42.1,43.2,44.3,2,0,0,0,0,0,0,0,0,1,"C",0,2.2,2.1,0,0,0,0,0.0232425841721623,0.0281431695569277,0.0272879832850683,0.024155059748288,0.882194601223543,0.867150433529475,"B/OB",0.867150433529475,0.882194601223544,0.194728958553938,"2","2","B/OB"
"BB/O",50,"9",1,423,3,"30/06/2022","MG",982,0.1781125,970.7,4,"24/06/2022",4512,"MG",1.8,1.6,1.8,1.9,46.4,49.5,50,50.5,41.1,40.8,42,42.4,0,0,0,0,0,0,0,0,0,1,"C",0,1.8,1.9,0,0,0,0,0.0259266878824754,0.0235580583636761,0.0242954324586978,0.0249261974650215,1.52204671565698,0.541220538927155,"BB/O",0.541220538927156,1.52204671565698,-1.51806043340528,"3","4","BB/O"
"G/OG",53,"9",1,231,3,"28/06/2022","MG",967,0.2790309,961.25,1,"22/06/2022",949,"JAP",2,1.8,2.4,2.5,52,53.3,56,56.4,42.5,43.4,46.2,45.9,2,0,0,0,0,0,0,0,0,0,"C",0,2.4,2.5,0,0,0,0,0.0260533279055567,0.0220192902683643,0.024338024000699,0.0258524645966267,0.913165973989891,0.514723661543257,"G/OG",0.514723661543258,0.913165973989891,-0.0837709319905308,"3","1","G/OG"
"GO/B",49,"9",1,270,4,"29/06/2022","MG",525,0.2928666,972.81,2,"23/06/2022",2,"JAP",1.8,1.9,2.2,1.9,49.5,49.1,51.9,53.1,41.2,41.6,43.8,43.4,20,0,0,0,0,0,0,0,0,0,"C",0,2.2,1.9,0,0,0,0,0.0257383591693076,0.0263920793980428,0.0261818511406576,0.0232425841721623,1.07018272063418,0.547101538564356,"GO/B",0.547101538564356,1.07018272063418,0.112867136535368,"4","2","GO/B"
"O/GO",54,"9",1,190,2,"30/06/2022","JAP",587,0.2698198,542.54,2,"24/06/2022",575,"JAP",1.2,1.2,1.8,1.8,44.4,46,49.3,49,38.8,37.9,39.1,40.4,22,0,0,0,0,0,0,0,0,1,"C",0,1.8,1.8,0,0,0,0,0.0205440502786869,0.022042640422503,0.0301121824337874,0.027297847910465,0.716504192595597,-1.03445182144535,"O/GO",-1.03445182144535,0.716504192595597,-0.214682480592981,"2","2","O/GO"
"O/OB",51,"9",1,194,1,"29/06/2022","JAP",4634,0.1879699,1270.69,3,"23/06/2022",957,"MG",1.5,1.8,1.8,1.8,46.7,47.7,52.3,49.8,40.9,42,41,41.9,16,0,0,0,0,0,0,0,0,1,"C",0,1.8,1.8,0,0,0,0,0.0219240778246883,0.0242954324586978,0.0261168584321179,0.0244698009282456,0.737473496808358,1.27060791478486,"O/OB",1.27060791478487,0.737473496808358,-1.37796343096325,"1","3","O/OB"
"B/OB",52,"9",2,69,3,"04/07/2022","MG",1008,0.2905282,732.35,4,"02/07/2022",4544,"MG",1.9,2.1,2.2,2.1,51.1,51.2,54.3,54.2,43.4,42.1,43.2,44.3,2,0,0,0,0,0,0,0,0,1,"C",0,2.2,2.1,0,0,0,0,0.0232425841721623,0.0281431695569277,0.0272879832850683,0.024155059748288,-0.302987408631509,-0.221917291309053,"B/OB",-0.221917291309053,-0.302987408631508,0.0796329337526422,"3","4","B/OB"
"BB/O",50,"9",2,134,1,"06/07/2022","JAP",4678,0.2304189,877.46,3,"03/07/2022",997,"MG",1.8,1.6,1.8,1.9,46.4,49.5,50,50.5,41.1,40.8,42,42.4,0,0,0,0,0,0,0,0,0,1,"C",0,1.8,1.9,0,0,0,0,0.0259266878824754,0.0235580583636761,0.0242954324586978,0.0249261974650215,0.365053645978396,0.267701935697483,"BB/O",0.267701935697484,0.365053645978397,-0.774662595381687,"1","3","BB/O"
