"ID_fish","trial","cage","treatment","z_log_boldness","z_log_activity","z_exploration","dens_tot","BS_post_tot","ces_tot","change_bc","change_bs","name","body_condition","z_bc","z_change_bc","z_change_bs"
"B/BB",4,"5","E",1.25678924724569,0.259045285667273,0.0436003155884933,11.1220159151194,9,28,-0.000579860526440303,2.77453580901857,"fulton4",0.0275512577996917,0.674152017319523,-0.3651151632963,-0.28915420095572
"B/BG",4,"6","E",-2.47163656972478,1.40199465817834,2.77924392852396,19.020202020202,17,6,-0.0050785753583526,4.18544418544418,"fulton4",0.0278882603607423,0.812609729666044,-1.31935442078139,0.047365634561936
"B/BR",4,"5","E",0.262342071949871,-0.44458868770123,0.817433941013395,11.7240533914465,9,2,0.0039596644495491,3.46245346408789,"fulton4",0.0243773321490195,-0.629857315369311,0.597780486744672,-0.125076972411584
"B/GB",4,"7","E",-0.232574775064468,-0.745996762378152,0.132470256573948,17.4992714910151,9,8,0.0043540446245493,5.46381738708111,"fulton4",0.0232137503871307,-1.10791560779597,0.681433943213941,0.35227412240783
"B/OB",4,"9","E",-1.90838876557546,0.871377468034408,0.024709235217813,4.47961630695444,4,1,0.004160645949699,0.865833648870382,"fulton4",0.0239825236072287,-0.792064650948024,0.640411425721028,-0.744404270852181
"B/OO",4,"10","E",-0.246268730470389,-1.26298621419214,0.484961159394823,33.4889521485699,24,5,-0.0012494812570332,7.26382233852573,"fulton4",0.0295383228607159,1.49053893668126,-0.507150925204324,0.781598506834324
"B/RB",4,"3","E",0.684207618589593,-0.223619061395926,0.659082572314893,32.3712600084282,29,8,-0.0015752741874142,3.05415086388533,"fulton4",0.0260411522633745,0.0537242160930973,-0.576256084254494,-0.222462405907762
"B/RG",4,"5","E",-0.668248230146872,-0.0156556460515959,0.810037824383165,7.01029269861692,5,6,0.000772777740464203,2.01029269861692,"fulton4",0.0286087926694961,1.10864087800747,-0.0782019928279663,-0.471436034492927
"B/RR",4,"3","E",-0.024438225453481,-1.63435440476715,-0.292607476503607,8.43472022955524,7,4,0.001549018346906,1.79647468743595,"fulton4",0.02474294428275,-0.479645342247673,0.0864493103989899,-0.522434386445179
"BB/B",4,"2","E",-1.65544325736797,-1.25203628326047,0.346619384477454,23.3694267515924,17,20,0.0111116919730769,4.36138115990613,"fulton4",0.0258889270214645,-0.00881761946609942,2.11482383991562,0.0893288709397669
"BB/G",4,"2","E",-0.410653798218625,-1.37703022802161,-0.208279808529339,70.0940615148675,62,17,0.004405043485849,17.6622007327256,"fulton4",0.0231968679465177,-1.11485176904891,0.692251502752056,3.26174579728524
"BB/O",4,"9","E",-0.024438225453481,0.631605725319759,0.52880631658979,33.0756192959583,7,4,-0.0005914912645405,3.80269448066058,"fulton4",0.0241495496282166,-0.723441906075606,-0.367582202729431,-0.0439251039795115
"BB/R",4,"1","E",-0.288505285451468,-0.839968760119406,1.12161558165553,15.3094718463553,14,3,0.0019466769625409,4.00560545843001,"fulton4",0.0258238216153976,-0.0355662161453414,0.170798169194002,0.00447177990368265
"BG/B",4,"1","E",-0.778963052744191,-1.46670767467313,-1.67548515566972,5.62172284644195,3,9,0.000649229836567598,1.12359550561798,"fulton4",0.0257168450150737,-0.0795176190939721,-0.104408201597154,-0.682924745260888
"BG/G",4,"4","E",-0.877235215124145,-2.05953143473773,0.0255548711507466,61.1321961620469,59,5,0.003560977335215,20.4975124378109,"fulton4",0.0270213702597354,0.456447391115628,0.51321346923729,3.93800418838914
"BG/R",4,"3","E",-1.14130227512213,-1.0535392720306,-0.53519981772779,19.8990956687292,8,25,0.0144914202090092,3.80771061399334,"fulton4",0.023210635389321,-1.10919540658845,2.83171065823091,-0.042728691517668
"BO/G",4,"10","E",-0.903379287528398,0.13186988104285,0.573379147058139,13.0033173608551,6,19,-0.0007262568217416,0.544907236761273,"fulton4",0.0239284026911859,-0.814300263051456,-0.396167829968105,-0.820949357138953
"BR/B",4,"1","E",-1.83894811682188,-0.847133557658972,0.175837878183257,15.3428317008014,10,13,0.0051302306249037,4.45235975066785,"fulton4",0.026010155216933,0.040989060234312,0.846073663739117,0.111028437623412
"BR/R",4,"1","E",0.537228289767089,-1.0323559010175,-0.164201568488993,10.5188916876574,8,6,0.0034699235500167,3.07784574787094,"fulton4",0.0239497532487689,-0.805528373155282,0.493899709724799,-0.216810870631144
"G/BG",4,"5","E",-0.260151573968469,-0.337094201436014,1.03594342360974,5.75054704595186,4,18,-0.0015420055954819,1.75054704595186,"fulton4",0.0268242862509391,0.375475303209387,-0.569199358578562,-0.533388720983254
"G/BR",4,"5","E",0.768130390523212,0.452389563765598,0.423940354721699,18,18,0,-0.0025415251456765,6.87211693436336,"fulton4",0.0264993782649833,0.241986654582169,-0.781211195082121,0.688171718544894
"G/GB",4,"7","E",-1.07634488632527,-1.2210001514344,1.20047148771082,8.9321431331633,7,3,0.000112709632007098,1.75261943404768,"fulton4",0.0280230501553472,0.867988200828019,-0.218211512265756,-0.532894429707657
"G/GG",4,"6","E",-0.141604103311415,-0.141644292609804,0.000299492111700635,20.6239038648912,19,5,0.0000728521199173972,3.09391160966347,"fulton4",0.024632,-0.525226869995126,-0.226665838481741,-0.212978955491785
"G/OG",4,"9","E",-1.14130227512213,-0.27694912411684,0.648517097482239,12.8058017727639,12,2,-0.0036470365831667,3.8348106365834,"fulton4",0.025666326851531,-0.100273038086232,-1.01570536789981,-0.0362649867889204
"G/OO",4,"10","E",-0.0468055947542596,-0.132611723054857,1.96710796966618,42.7824151363383,40,4,-0.0054673047265192,3.5494342422556,"fulton4",0.0299536210599681,1.66116446080437,-1.40180926344237,-0.10433093556662
"G/RB",4,"5","E",0.119591370726934,1.3919653941083,1.00974292205742,10.5082248382319,7,12,-0.0034435361463334,1.19015778016324,"fulton4",0.0285312663709457,1.0767891499063,-0.972540127826308,-0.667048784740759
"G/RR",4,"3","E",0.157221555214031,1.10667122149505,0.0311858115982819,13.6894910289271,6,21,-0.0012376257041512,1.32743221944502,"fulton4",0.0273380641631473,0.586561278807771,-0.504636199465554,-0.634307061394476
"GB/B",4,"3","E",-1.21074292387571,0.588079369939166,0.470538447718502,17.0576414595452,16,2,0.000235593352764598,6.37779834302838,"fulton4",0.0207517146776406,-2.11944451424918,-0.192146185870573,0.570270362348545
"GB/G",4,"4","E",0.964138394566739,-0.989006659849594,-1.28628938964893,16.8216560509554,13,6,0.0132285447802175,4.75084301236418,"fulton4",0.0193390868307384,-2.69982354599697,2.56383741965222,0.182220543226534
"GG/G",4,"4","E",1.96674704914924,-0.519701785202567,-0.775012219649757,14.1524074810983,5,23,0.0031621415185891,1.98965380023876,"fulton4",0.0259868974125292,0.0314335767925425,0.428614909929679,-0.476358677808065
"GG/R",4,"4","E",-0.0468055947542596,1.29661486586447,-0.621184647883235,15.514657980456,9,15,-0.0000592386528477998,1.80704203505507,"fulton4",0.0262885859926193,0.155382518041312,-0.254684107172605,-0.519913937816435
"GO/B",4,"9","E",-1.65544325736797,-0.804426342525153,1.57975128414491,38,38,0,0.0032962904943363,9.01600753295669,"fulton4",0.0230957889037065,-1.15638015681601,0.457069751766137,1.19951726277805
