"ID_fish","before_exp","trial","cage","treatment","exploration","dens_tot","dens_ces","dens_bs2","name","after_exp"
"RB/G",NA,4,"2","E",0.3028233,6.33927816752599,3.38094835601386,2.95832981151213,"z_exploration",0.254375427181438
"RB/R",-0.157904067953145,1,"2","C",0.2738148,0,0,0,"z_exploration",NA
"RB/R",-1.3610123389093,2,"2","C",0.1891626,0,0,0,"z_exploration",NA
"RB/R",NA,3,"2","E",0.2755871,25.4022015241321,16.4055884843353,8.99661303979678,"z_exploration",-0.132715487046618
"RB/R",NA,4,"2","E",0.3142857,25.4022015241321,16.4055884843353,8.99661303979678,"z_exploration",0.417283281259747
"RG/B",-0.393316320550133,1,"C1","C",0.2572509,0,0,0,"z_exploration",NA
"RG/B",1.19595479696315,2,"C1","C",0.369074,0,0,0,"z_exploration",NA
"RG/B",NA,3,"C1","E",0.2716325,0,0,0,"z_exploration",-0.188919719994175
"RG/B",NA,4,"C1","E",0.3919048,0,0,0,"z_exploration",1.52043454246942
"RG/G",-0.896941551283902,1,"1","C",0.2218152,0,0,0,"z_exploration",NA
"RG/G",0.257699700201828,2,"1","C",0.3030572,0,0,0,"z_exploration",NA
"RG/G",NA,3,"1","E",0.2900378,13.1297412954678,6.32172729041043,6.80801400505738,"z_exploration",0.0726631881810339
"RG/G",NA,4,"1","E",0.316855,13.1297412954678,6.32172729041043,6.80801400505738,"z_exploration",0.453799119957001
"RG/R",-0.781632340953295,1,"C1","C",0.2299285,0,0,0,"z_exploration",NA
"RG/R",-0.611929553437412,2,"C1","C",0.241869,0,0,0,"z_exploration",NA
"RG/R",NA,3,"C1","E",0.3509524,3.68421052631579,0,3.68421052631579,"z_exploration",0.93840393776564
"RG/R",NA,4,"C1","E",0.376177,3.68421052631579,0,3.68421052631579,"z_exploration",1.29690525127622
"RR/B",1.05791716673426,1,"2","C",0.3593615,0,0,0,"z_exploration",NA
"RR/B",0.717381708397147,2,"2","C",0.335401,0,0,0,"z_exploration",NA
"RR/B",NA,3,"2","E",0.2466044,12.1384476659499,2.08087674273427,10.0575709232156,"z_exploration",-0.544628303070785
"RR/B",NA,4,"2","E",0.3772819,12.1384476659499,2.08087674273427,10.0575709232156,"z_exploration",1.31260849736527
"RR/R",0.942511312297032,1,"1","C",0.3512414,0,0,0,"z_exploration",NA
"RR/R",-0.0742472237777771,2,"1","C",0.279701,0,0,0,"z_exploration",NA
"RR/R",NA,3,"1","E",0.3167922,4.33233850004814,4.33233850004814,0,"z_exploration",0.452906583207619
"RR/R",NA,4,"1","E",0.2552995,4.33233850004814,4.33233850004814,0,"z_exploration",-0.421050336676635
