"ID_fish","before_exp","trial","cage","treatment","exploration","dens_tot","dens_ces","dens_bs2","name","after_exp"
"BG/B",0.208016101977462,1,"1","C",0.2995614,0,0,0,"z_exploration",NA
"BG/B",-1.37007983008933,2,"1","C",0.1885246,0,0,0,"z_exploration",NA
"BG/B",NA,3,"1","E",0.2547289,3.74531835205992,2.62172284644195,1.12359550561798,"z_exploration",-0.429159914211626
"BG/B",NA,4,"1","E",0.1670359,3.74531835205992,2.62172284644195,1.12359550561798,"z_exploration",-1.67548515566972
"BG/G",-0.812794380391118,1,"4","C",0.2277359,0,0,0,"z_exploration",NA
"BG/G",0.372164695836362,2,"4","C",0.3111111,0,0,0,"z_exploration",NA
"BG/G",NA,3,"4","E",0.2424504,21.3219616204691,2.13219616204691,19.1897654584222,"z_exploration",-0.603666482321317
"BG/G",NA,4,"4","E",0.2867232,21.3219616204691,2.13219616204691,19.1897654584222,"z_exploration",0.0255548711507466
"BG/R",-2.63090055055108,1,"3","C",0.09981168,0,0,0,"z_exploration",NA
"BG/R",-0.279235058868358,2,"3","C",0.2652778,0,0,0,"z_exploration",NA
"BG/R",NA,3,"3","E",0.2618747,15.7068062827225,11.8990956687292,3.80771061399334,"z_exploration",-0.32760117052158
"BG/R",NA,4,"3","E",0.2472678,15.7068062827225,11.8990956687292,3.80771061399334,"z_exploration",-0.53519981772779
"BO/G",0.676046455500602,1,"10","C",0.3324926,0,0,0,"z_exploration",NA
"BO/G",0.467181486250284,2,"10","C",0.3177966,0,0,0,"z_exploration",NA
"BO/G",NA,3,"10","E",0.3642857,7.74050866199779,7.00331736085514,0.737191301142647,"z_exploration",1.12790171229648
"BO/G",NA,4,"10","E",0.3252688,7.74050866199779,7.00331736085514,0.737191301142647,"z_exploration",0.573379147058139
"BR/B",-0.63227882282858,1,"1","C",0.2404372,0,0,0,"z_exploration",NA
"BR/B",0.0436003155884933,2,"1","C",0.2879929,0,0,0,"z_exploration",NA
