"ID_fish","before_act","trial","cage","treatment","log_activity","dens_tot","dens_ces","dens_bs2","name","after_act"
"B/BB",1.11463055543744,1,"5","C",1.11463055543744,0,0,0,"z_log_activity",NA
"B/BB",0.610963513967587,2,"5","C",0.610963513967586,0,0,0,"z_log_activity",NA
"B/BB",NA,3,"5","E",1.08105216826168,4.77453580901857,2.12201591511936,2.6525198938992,"z_log_activity",1.08105216826168
"B/BB",NA,4,"5","E",0.259045285667272,4.77453580901857,2.12201591511936,2.6525198938992,"z_log_activity",0.259045285667273
"B/BG",1.0127607844526,1,"6","C",1.0127607844526,0,0,0,"z_log_activity",NA
"B/BG",-0.17571455629361,2,"6","C",-0.17571455629361,0,0,0,"z_log_activity",NA
"B/BG",NA,3,"6","E",1.44941733128753,6.3973063973064,2.02020202020202,4.37710437710438,"z_log_activity",1.44941733128753
"B/BG",NA,4,"6","E",1.40199465817834,6.3973063973064,2.02020202020202,4.37710437710438,"z_log_activity",1.40199465817834
"B/BR",-0.475643210795449,1,"5","C",-0.475643210795449,0,0,0,"z_log_activity",NA
"B/BR",-0.0538624321952266,2,"5","C",-0.053862432195227,0,0,0,"z_log_activity",NA
"B/BR",NA,3,"5","E",0.313308014896318,6.12912013075456,2.72405339144647,3.40506673930809,"z_log_activity",0.313308014896318
"B/BR",NA,4,"5","E",-0.44458868770123,6.12912013075456,2.72405339144647,3.40506673930809,"z_log_activity",-0.44458868770123
"B/GB",-1.38440518049923,1,"7","C",-1.38440518049923,0,0,0,"z_log_activity",NA
"B/GB",-1.65373648601628,2,"7","C",-1.65373648601628,0,0,0,"z_log_activity",NA
"B/GB",NA,3,"7","E",-0.675388428167701,13.9630888780962,8.49927149101506,5.46381738708111,"z_log_activity",-0.675388428167701
"B/GB",NA,4,"7","E",-0.745996762378152,13.9630888780962,8.49927149101506,5.46381738708111,"z_log_activity",-0.745996762378152
"B/GG",-0.147394931441281,1,"C2","C",-0.147394931441281,0,0,0,"z_log_activity",NA
"B/GG",-1.46489290976104,2,"C2","C",-1.46489290976104,0,0,0,"z_log_activity",NA
"B/GG",NA,3,"C2","E",0.110528163758342,1.91021967526266,0,1.91021967526266,"z_log_activity",0.110528163758343
