"ID_fish","trial","cage","treatment","log_boldness","exploration","log_activity","z_log_boldness","z_log_activity","z_exploration","dens_tot","dens_bs","dens_ces","BS_pre","BS_post_tot","name","body_condition","z_bc","z_dens","z_bs","z_ces","z_bs_pre","z_bs_post"
"B/BB",3,"5","E",-0.271500767607743,0.2397661,1.04826186383858,-0.271500767607744,1.04826186383858,-0.576976038524732,11.1220159151194,4.77453580901857,2.12201591511936,4,9,"fulton3",0.0303546896369057,1.48879036345883,-0.602590742142167,-0.298208146356757,-0.507275858695161,-0.162891796772026,-0.419518115668786
"B/BB",4,"5","E",1.22768061048692,0.2879929,0.243331437665179,1.22768061048692,0.243331437665179,0.119164278235793,11.1220159151194,4.77453580901857,2.12201591511936,4,9,"fulton4",0.0275512577996917,0.349225163051089,-0.602590742142167,-0.298208146356757,-0.507275858695161,-0.162891796772026,-0.419518115668786
"B/BG",3,"6","E",-0.370277892372224,0.376163,1.40897457067871,-0.370277892372224,1.40897457067871,1.39187491511834,19.020202020202,5.72390572390572,2.02020202020202,4,17,"fulton3",0.0305128626612969,1.55308601418476,-0.00724054930187626,-0.14035002235115,-0.525759483712854,-0.162891796772026,0.2258943699755
"B/BG",4,"6","E",-2.66376310356803,0.4804762,1.36253706110994,-2.66376310356803,1.36253706110994,2.89760666780158,19.020202020202,5.72390572390572,2.02020202020202,4,17,"fulton4",0.0278882603607423,0.486213116859588,-0.00724054930187626,-0.14035002235115,-0.525759483712854,-0.162891796772026,0.2258943699755
"B/BR",3,"5","E",0.663772681798585,0.3198937,0.296466907316982,0.663772681798585,0.296466907316981,0.579643369050738,11.7240533914465,6.12912013075456,2.72405339144647,4,9,"fulton3",0.024142301782836,-1.03647917081633,-0.557210306323142,-0.0729722962592023,-0.397980020754152,-0.162891796772026,-0.419518115668786
"B/BR",4,"5","E",0.189753238658708,0.3424408,-0.445685170402637,0.189753238658708,-0.445685170402637,0.905104426720565,11.7240533914465,6.12912013075456,2.72405339144647,4,9,"fulton4",0.0243773321490195,-0.940941828767748,-0.557210306323142,-0.0729722962592023,-0.397980020754152,-0.162891796772026,-0.419518115668786
"B/GB",3,"7","E",0.0605823362137477,0.2038104,-0.671690253070606,0.0605823362137475,-0.671690253070606,-1.09598647229488,17.4992714910151,5.46381738708111,8.49927149101506,0,9,"fulton3",0.0245412816969878,-0.874298082696531,-0.121885389496945,-0.183596660234922,0.650471822036902,-0.746384800134508,-0.419518115668786
"B/GB",4,"7","E",-0.326802849041266,0.2942459,-0.740831762406916,-0.326802849041266,-0.740831762406916,0.20942457750308,17.4992714910151,5.46381738708111,8.49927149101506,0,9,"fulton4",0.0232137503871307,-1.4139254291093,-0.121885389496945,-0.183596660234922,0.650471822036902,-0.746384800134508,-0.419518115668786
"B/OB",3,"9","E",-0.97305348624432,0.1905184,0.80741712310028,-0.973053486244321,0.80741712310028,-1.28785276013444,4.47961630695444,1.91846522781775,0.479616306954436,2,4,"fulton3",0.0271019288535792,0.166577729384735,-1.10328214584288,-0.773106220233003,-0.805442415540599,-0.454638298453267,-0.822900919196465
"B/OB",4,"9","E",-2.07588842548389,0.2866637,0.842942967628086,-2.07588842548389,0.842942967628086,0.0999776494518377,4.47961630695444,1.91846522781775,0.479616306954436,2,4,"fulton4",0.0239825236072287,-1.10142729842541,-1.10328214584288,-0.773106220233003,-0.805442415540599,-0.454638298453267,-0.822900919196465
"B/OO",3,"10","E",0.601122864959868,0.1924072,1.28626996420039,0.601122864959868,1.28626996420039,-1.26058846247635,33.4889521485699,8.13338755591704,9.48895214856988,2,24,"fulton3",0.0291596310541809,1.00301177050572,1.08338621796797,0.260290735126519,0.830141661564785,-0.454638298453267,0.790630294914251
"B/OO",4,"10","E",-0.341095545020992,0.3190476,-1.24708122161141,-0.341095545020992,-1.24708122161141,0.567430153120776,33.4889521485699,8.13338755591704,9.48895214856988,2,24,"fulton4",0.0295383228607159,1.15694595883815,1.08338621796797,0.260290735126519,0.830141661564785,-0.454638298453267,0.790630294914251
"B/RB",3,"3","E",0.798503470018553,0.2707133,-1.95033039830315,0.798503470018553,-1.95033039830315,-0.130261895955635,32.3712600084282,12.220817530552,3.37126000842815,22,29,"fulton3",0.03104418897183,1.76906450365867,0.99913671785284,0.939935221097888,-0.280484030379053,2.46282671835914,1.19401309844193
"B/RB",4,"3","E",0.63006400524959,0.331299,-0.229305990082478,0.63006400524959,-0.229305990082478,0.744275672142563,32.3712600084282,12.220817530552,3.37126000842815,22,29,"fulton4",0.0260411522633745,-0.264616662987498,0.99913671785284,0.939935221097888,-0.280484030379053,2.46282671835914,1.19401309844193
"B/RG",3,"5","E",1.38359537309941,0.3610988,0.913281328909871,1.38359537309941,0.913281328909871,1.17442741788145,7.01029269861692,2.01029269861692,2.01029269861692,0,5,"fulton3",0.0286087926694961,0.779101830587426,-0.912524589899361,-0.757837448761285,-0.527558454123597,-0.746384800134508,-0.742224358490929
"B/RG",4,"5","E",-0.781525247015277,0.3419204,-0.0256628283448825,-0.781525247015277,-0.0256628283448826,0.897592598839757,7.01029269861692,2.01029269861692,2.01029269861692,0,5,"fulton4",0.0286087926694961,0.779101830587426,-0.912524589899361,-0.757837448761285,-0.527558454123597,-0.746384800134508,-0.742224358490929
"B/RR",3,"3","E",1.29041548436382,0.3278689,0.413333580246245,1.29041548436382,0.413333580246245,0.694763141754474,8.43472022955524,2.51076040172166,1.43472022955524,2,7,"fulton3",0.0285390451689286,0.750750214041211,-0.805153961510974,-0.674621316146739,-0.63204974872814,-0.454638298453267,-0.580871237079858
"B/RR",4,"3","E",-0.10956594869524,0.2643369,-1.61073457079424,-0.109565948695241,-1.61073457079424,-0.222303439574366,8.43472022955524,2.51076040172166,1.43472022955524,2,7,"fulton4",0.02474294428275,-0.79232438820242,-0.805153961510974,-0.674621316146739,-0.63204974872814,-0.454638298453267,-0.580871237079858
"BB/B",3,"2","E",1.49204473362408,0.3380594,-0.150511200035688,1.49204473362408,-0.150511200035688,0.84186014794083,23.3694267515924,5.4140127388535,6.36942675159236,4,17,"fulton3",0.0256114318301784,-0.439293444878178,0.320595709313602,-0.191878014228432,0.263812893593426,-0.162891796772026,0.2258943699755
"BB/B",4,"2","E",-1.81188338522476,0.3093137,-1.23635876568308,-1.81188338522476,-1.23635876568308,0.42692403972915,23.3694267515924,5.4140127388535,6.36942675159236,4,17,"fulton4",0.0258889270214645,-0.326494603446603,0.320595709313602,-0.191878014228432,0.263812893593426,-0.162891796772026,0.2258943699755
"BB/G",3,"2","E",-0.181218507274695,0.3635982,-1.22462446556703,-0.181218507274695,-1.22462446556703,1.21050555509378,70.0940615148675,26.4122007327256,8.09406151486751,28,62,"fulton3",0.0275022326919923,0.329296978624106,3.84260949154229,3.29963199915104,0.576908687470442,3.33806622340286,3.85633960172461
"BB/G",4,"2","E",-0.512668018224483,0.2702703,-1.3587560732435,-0.512668018224483,-1.3587560732435,-0.136656476569005,70.0940615148675,26.4122007327256,8.09406151486751,28,62,"fulton4",0.0231968679465177,-1.4207879615116,3.84260949154229,3.29963199915104,0.576908687470442,3.33806622340286,3.85633960172461
"BB/O",3,"9","E",-1.20746510618691,0.2105263,0.487704248340392,-1.20746510618691,0.487704248340392,-0.999044341501799,33.0756192959583,3.80269448066058,26.0756192959583,0,7,"fulton3",0.0234963826800561,-1.29903841054376,1.05222997649232,-0.45980274348905,3.84133906339802,-0.746384800134508,-0.580871237079858
"BB/O",4,"9","E",-0.10956594869524,0.3221326,0.60815226801922,-0.109565948695241,0.60815226801922,0.611961261906891,33.0756192959583,3.80269448066058,26.0756192959583,0,7,"fulton4",0.0241495496282166,-1.03353299881956,1.05222997649232,-0.45980274348905,3.84133906339802,-0.746384800134508,-0.580871237079858
"BB/R",3,"1","E",1.54353797265996,0.2866637,0.376101306479046,1.54353797265996,0.376101306479046,0.0999776494518377,15.3094718463553,6.11086861632475,1.3094718463553,4,14,"fulton3",0.0288482922004063,0.876455840524929,-0.286948306904128,-0.0760070983768716,-0.654787746827708,-0.162891796772026,-0.0161353121411071
"BB/R",4,"1","E",-0.385178808160181,0.3638434,-0.832851576099349,-0.385178808160181,-0.832851576099349,1.21404494824592,15.3094718463553,6.11086861632475,1.3094718463553,4,14,"fulton4",0.0258238216153976,-0.352959257991578,-0.286948306904128,-0.0760070983768716,-0.654787746827708,-0.162891796772026,-0.0161353121411071
"BG/B",3,"1","E",0.895970397972468,0.2547289,0.0882404471944296,0.895970397972467,0.0882404471944296,-0.360992221816504,5.62172284644195,1.12359550561798,2.62172284644195,0,3,"fulton3",0.0301430874688676,1.40277633457248,-1.01719233490636,-0.905274557577281,-0.416557440105954,-0.746384800134508,-0.903577479902001
"BG/B",4,"1","E",-0.897080851873503,0.1670359,-1.44657055129692,-0.897080851873503,-1.44657055129692,-1.62681605416036,5.62172284644195,1.12359550561798,2.62172284644195,0,3,"fulton4",0.0257168450150737,-0.396444107299771,-1.01719233490636,-0.905274557577281,-0.416557440105954,-0.746384800134508,-0.903577479902001
"BG/G",3,"4","E",-1.64994856631226,0.2424504,0.0344604397484328,-1.64994856631226,0.0344604397484327,-0.538228921729085,61.1321961620469,31.4498933901919,2.13219616204691,23,59,"fulton3",0.025559840709417,-0.460264686300672,3.16708118731848,4.13728305566148,-0.505427703618203,2.60869996919976,3.614309919608
"BG/G",4,"4","E",-0.999649766298303,0.2867232,-2.02707892894997,-0.999649766298303,-2.02707892894997,0.100836515245281,61.1321961620469,31.4498933901919,2.13219616204691,23,59,"fulton4",0.0270213702597354,0.133831518501502,3.16708118731848,4.13728305566148,-0.505427703618203,2.60869996919976,3.614309919608
"BG/R",3,"3","E",0.624339212065615,0.2618747,-0.19749945509513,0.624339212065615,-0.19749945509513,-0.257844605231796,19.8990956687292,3.80771061399334,11.8990956687292,0,8,"fulton3",0.0263739835905891,-0.129324271332203,0.0590087763249353,-0.458968677246531,1.26768694064104,-0.746384800134508,-0.500194676374322
"BG/R",4,"3","E",-1.27526262576324,0.2472678,-1.04198535199691,-1.27526262576324,-1.04198535199691,-0.468691105370501,19.8990956687292,3.80771061399334,11.8990956687292,0,8,"fulton4",0.023210635389321,-1.41519164256103,0.0590087763249353,-0.458968677246531,1.26768694064104,-0.746384800134508,-0.500194676374322
"BO/G",3,"10","E",-1.0837343865342,0.3642857,-0.911254604481777,-1.0837343865342,-0.911254604481777,1.22042942455583,13.0033173608551,2.21157390342794,7.00331736085514,4,6,"fulton3",0.0251678337169991,-0.619611355959629,-0.460781830120113,-0.724369068427332,0.378891452697393,-0.162891796772026,-0.661547797785393
"BO/G",4,"10","E",-1.02693693552513,0.3252688,0.118797988115436,-1.02693693552513,0.118797988115435,0.657231428316945,13.0033173608551,2.21157390342794,7.00331736085514,4,6,"fulton4",0.0239284026911859,-1.12342687470112,-0.460781830120113,-0.724369068427332,0.378891452697393,-0.162891796772026,-0.661547797785393
"BR/B",3,"1","E",-0.826233992131528,0.2351165,0.886602155532956,-0.826233992131528,0.886602155532956,-0.644091708998612,15.3428317008014,4.45235975066785,5.34283170080142,0,10,"fulton3",0.0270219962695283,0.13408598481869,-0.284433704752018,-0.351778527483497,0.0774414952764791,-0.746384800134508,-0.33884155496325
