"ID_fish","trial","cage","treatment","exploration","log_boldness","log_activity","z_log_boldness","z_log_activity","z_exploration","dens_tot","dens_ces","BS_pre","BS_post_tot","dens_bs2","name","body_condition","z_bc","z_ces","z_bs2","z_dens"
"B/BB",3,"5","E",0.2397661,-0.271500767607743,1.04826186383858,-0.271500767607744,1.04826186383858,-0.576976038524732,4.77453580901857,2.12201591511936,4,9,2.6525198938992,"fulton3",0.0303546896369057,1.48879036345883,-0.507275858695161,-0.409937514980975,-0.604097041067696
"B/BB",4,"5","E",0.2879929,1.22768061048692,0.243331437665179,1.22768061048692,0.243331437665179,0.119164278235793,4.77453580901857,2.12201591511936,4,9,2.6525198938992,"fulton4",0.0275512577996917,0.349225163051089,-0.507275858695161,-0.409937514980975,-0.604097041067696
"B/BG",3,"6","E",0.376163,-0.370277892372224,1.40897457067871,-0.370277892372224,1.40897457067871,1.39187491511834,6.3973063973064,2.02020202020202,4,17,4.37710437710438,"fulton3",0.0305128626612969,1.55308601418476,-0.525759483712854,0.0535816839790016,-0.377145336795583
"B/BG",4,"6","E",0.4804762,-2.66376310356803,1.36253706110994,-2.66376310356803,1.36253706110994,2.89760666780158,6.3973063973064,2.02020202020202,4,17,4.37710437710438,"fulton4",0.0278882603607423,0.486213116859588,-0.525759483712854,0.0535816839790016,-0.377145336795583
"B/BR",3,"5","E",0.3198937,0.663772681798585,0.296466907316982,0.663772681798585,0.296466907316981,0.579643369050738,6.12912013075456,2.72405339144647,4,9,3.40506673930809,"fulton3",0.024142301782836,-1.03647917081633,-0.397980020754152,-0.207674352833362,-0.414652382274226
"B/BR",4,"5","E",0.3424408,0.189753238658708,-0.445685170402637,0.189753238658708,-0.445685170402637,0.905104426720565,6.12912013075456,2.72405339144647,4,9,3.40506673930809,"fulton4",0.0243773321490195,-0.940941828767748,-0.397980020754152,-0.207674352833362,-0.414652382274226
"B/GB",3,"7","E",0.2038104,0.0605823362137477,-0.671690253070606,0.0605823362137475,-0.671690253070606,-1.09598647229488,13.9630888780962,8.49927149101506,0,9,5.46381738708111,"fulton3",0.0245412816969878,-0.874298082696531,0.650471822036902,0.345659195280529,0.680963086268087
"B/GB",4,"7","E",0.2942459,-0.326802849041266,-0.740831762406916,-0.326802849041266,-0.740831762406916,0.20942457750308,13.9630888780962,8.49927149101506,0,9,5.46381738708111,"fulton4",0.0232137503871307,-1.4139254291093,0.650471822036902,0.345659195280529,0.680963086268087
"B/OB",3,"9","E",0.1905184,-0.97305348624432,0.80741712310028,-0.973053486244321,0.80741712310028,-1.28785276013444,1.43884892086331,0.479616306954436,2,4,0.959232613908873,"fulton3",0.0271019288535792,0.166577729384735,-0.805442415540599,-0.865044916951526,-1.07060772942305
"B/OB",4,"9","E",0.2866637,-2.07588842548389,0.842942967628086,-2.07588842548389,0.842942967628086,0.0999776494518377,1.43884892086331,0.479616306954436,2,4,0.959232613908873,"fulton4",0.0239825236072287,-1.10142729842541,-0.805442415540599,-0.865044916951526,-1.07060772942305
"B/OO",3,"10","E",0.1924072,0.601122864959868,1.28626996420039,0.601122864959868,1.28626996420039,-1.26058846247635,16.9445574081605,9.48895214856988,2,24,7.45560525959062,"fulton3",0.0291596310541809,1.00301177050572,0.830141661564785,0.880995056268885,1.09793475744293
"B/OO",4,"10","E",0.3190476,-0.341095545020992,-1.24708122161141,-0.341095545020992,-1.24708122161141,0.567430153120776,16.9445574081605,9.48895214856988,2,24,7.45560525959062,"fulton4",0.0295383228607159,1.15694595883815,0.830141661564785,0.880995056268885,1.09793475744293
"B/RB",3,"3","E",0.2707133,0.798503470018553,-1.95033039830315,0.798503470018553,-1.95033039830315,-0.130261895955635,6.32111251580278,3.37126000842815,22,29,2.94985250737463,"fulton3",0.03104418897183,1.76906450365867,-0.280484030379053,-0.330022975470178,-0.387801390945911
"B/RB",4,"3","E",0.331299,0.63006400524959,-0.229305990082478,0.63006400524959,-0.229305990082478,0.744275672142563,6.32111251580278,3.37126000842815,22,29,2.94985250737463,"fulton4",0.0260411522633745,-0.264616662987498,-0.280484030379053,-0.330022975470178,-0.387801390945911
"B/RG",3,"5","E",0.3610988,1.38359537309941,0.913281328909871,1.38359537309941,0.913281328909871,1.17442741788145,4.02058539723384,2.01029269861692,0,5,2.01029269861692,"fulton3",0.0286087926694961,0.779101830587426,-0.527558454123597,-0.582549896691786,-0.709540368748254
"B/RG",4,"5","E",0.3419204,-0.781525247015277,-0.0256628283448825,-0.781525247015277,-0.0256628283448826,0.897592598839757,4.02058539723384,2.01029269861692,0,5,2.01029269861692,"fulton4",0.0286087926694961,0.779101830587426,-0.527558454123597,-0.582549896691786,-0.709540368748254
"B/RR",3,"3","E",0.3278689,1.29041548436382,0.413333580246245,1.29041548436382,0.413333580246245,0.694763141754474,3.22812051649928,1.43472022955524,2,7,1.79340028694405,"fulton3",0.0285390451689286,0.750750214041211,-0.63204974872814,-0.640844400613254,-0.820370116684631
"B/RR",4,"3","E",0.2643369,-0.10956594869524,-1.61073457079424,-0.109565948695241,-1.61073457079424,-0.222303439574366,3.22812051649928,1.43472022955524,2,7,1.79340028694405,"fulton4",0.02474294428275,-0.79232438820242,-0.63204974872814,-0.640844400613254,-0.820370116684631
"BB/B",3,"2","E",0.3380594,1.49204473362408,-0.150511200035688,1.49204473362408,-0.150511200035688,0.84186014794083,10.5095541401274,6.36942675159236,4,17,4.14012738853503,"fulton3",0.0256114318301784,-0.439293444878178,0.263812893593426,-0.0101109822738376,0.197970850519022
"BB/B",4,"2","E",0.3093137,-1.81188338522476,-1.23635876568308,-1.81188338522476,-1.23635876568308,0.42692403972915,10.5095541401274,6.36942675159236,4,17,4.14012738853503,"fulton4",0.0258889270214645,-0.326494603446603,0.263812893593426,-0.0101109822738376,0.197970850519022
"BB/G",3,"2","E",0.3635982,-0.181218507274695,-1.22462446556703,-0.181218507274695,-1.22462446556703,1.21050555509378,22.5781715941041,8.09406151486751,28,62,14.4841100792366,"fulton3",0.0275022326919923,0.329296978624106,0.576908687470442,2.77005700459041,1.88582082706935
"BB/G",4,"2","E",0.2702703,-0.512668018224483,-1.3587560732435,-0.512668018224483,-1.3587560732435,-0.136656476569005,22.5781715941041,8.09406151486751,28,62,14.4841100792366,"fulton4",0.0231968679465177,-1.4207879615116,0.576908687470442,2.77005700459041,1.88582082706935
"BB/O",3,"9","E",0.2105263,-1.20746510618691,0.487704248340392,-1.20746510618691,0.487704248340392,-0.999044341501799,29.8783137766189,26.0756192959583,0,7,3.80269448066058,"fulton3",0.0234963826800561,-1.29903841054376,3.84133906339802,-0.100803339003161,2.90677826967283
"BB/O",4,"9","E",0.3221326,-0.10956594869524,0.60815226801922,-0.109565948695241,0.60815226801922,0.611961261906891,29.8783137766189,26.0756192959583,0,7,3.80269448066058,"fulton4",0.0241495496282166,-1.03353299881956,3.84133906339802,-0.100803339003161,2.90677826967283
"BB/R",3,"1","E",0.2866637,1.54353797265996,0.376101306479046,1.54353797265996,0.376101306479046,0.0999776494518377,5.67437800087298,1.3094718463553,4,14,4.36490615451768,"fulton3",0.0288482922004063,0.876455840524929,-0.654787746827708,0.0503031491103507,-0.478250097272157
"BB/R",4,"1","E",0.3638434,-0.385178808160181,-0.832851576099349,-0.385178808160181,-0.832851576099349,1.21404494824592,5.67437800087298,1.3094718463553,4,14,4.36490615451768,"fulton4",0.0258238216153976,-0.352959257991578,-0.654787746827708,0.0503031491103507,-0.478250097272157
"BG/B",3,"1","E",0.2547289,0.895970397972468,0.0882404471944296,0.895970397972467,0.0882404471944296,-0.360992221816504,3.74531835205992,2.62172284644195,0,3,1.12359550561798,"fulton3",0.0301430874688676,1.40277633457248,-0.416557440105954,-0.820868852139578,-0.74803769269722
"BG/B",4,"1","E",0.1670359,-0.897080851873503,-1.44657055129692,-0.897080851873503,-1.44657055129692,-1.62681605416036,3.74531835205992,2.62172284644195,0,3,1.12359550561798,"fulton4",0.0257168450150737,-0.396444107299771,-0.416557440105954,-0.820868852139578,-0.74803769269722
"BG/G",3,"4","E",0.2424504,-1.64994856631226,0.0344604397484328,-1.64994856631226,0.0344604397484327,-0.538228921729085,21.3219616204691,2.13219616204691,23,59,19.1897654584222,"fulton3",0.025559840709417,-0.460264686300672,-0.505427703618203,4.03480316993226,1.71013425960396
"BG/G",4,"4","E",0.2867232,-0.999649766298303,-2.02707892894997,-0.999649766298303,-2.02707892894997,0.100836515245281,21.3219616204691,2.13219616204691,23,59,19.1897654584222,"fulton4",0.0270213702597354,0.133831518501502,-0.505427703618203,4.03480316993226,1.71013425960396
"BG/R",3,"3","E",0.2618747,0.624339212065615,-0.19749945509513,0.624339212065615,-0.19749945509513,-0.257844605231796,15.7068062827225,11.8990956687292,0,8,3.80771061399334,"fulton3",0.0263739835905891,-0.129324271332203,1.26768694064104,-0.0994551452052233,0.924829742223705
"BG/R",4,"3","E",0.2472678,-1.27526262576324,-1.04198535199691,-1.27526262576324,-1.04198535199691,-0.468691105370501,15.7068062827225,11.8990956687292,0,8,3.80771061399334,"fulton4",0.023210635389321,-1.41519164256103,1.26768694064104,-0.0994551452052233,0.924829742223705
"BO/G",3,"10","E",0.3642857,-1.0837343865342,-0.911254604481777,-1.0837343865342,-0.911254604481777,1.22042942455583,7.74050866199779,7.00331736085514,4,6,0.737191301142647,"fulton3",0.0251678337169991,-0.619611355959629,0.378891452697393,-0.924723298864219,-0.189292509443376
"BO/G",4,"10","E",0.3252688,-1.02693693552513,0.118797988115436,-1.02693693552513,0.118797988115435,0.657231428316945,7.74050866199779,7.00331736085514,4,6,0.737191301142647,"fulton4",0.0239284026911859,-1.12342687470112,0.378891452697393,-0.924723298864219,-0.189292509443376
"BR/B",3,"1","E",0.2351165,-0.826233992131528,0.886602155532956,-0.826233992131528,0.886602155532956,-0.644091708998612,9.79519145146928,5.34283170080142,0,10,4.45235975066785,"fulton3",0.0270219962695283,0.13408598481869,0.0774414952764791,0.0738081853834118,0.0980640424775808
"BR/B",4,"1","E",0.2972973,-2.0034116244538,-0.839867531390096,-2.0034116244538,-0.839867531390096,0.253470679723485,9.79519145146928,5.34283170080142,0,10,4.45235975066785,"fulton4",0.026010155216933,-0.277216632414706,0.0774414952764791,0.0738081853834118,0.0980640424775808
"BR/R",3,"1","E",0.2946506,-1.0837343865342,-0.372472202091828,-1.0837343865342,-0.372472202091829,0.215266308370418,5.54156171284635,2.51889168765743,2,8,3.02267002518892,"fulton3",0.0266422215830421,-0.0202883826870736,-0.435225742508598,-0.310451700269555,-0.49682504750868
"BR/R",4,"1","E",0.2733717,0.476658301791852,-1.0212420465351,0.476658301791852,-1.0212420465351,-0.0918886383877229,5.54156171284635,2.51889168765743,2,8,3.02267002518892,"fulton4",0.0239497532487689,-1.11474810031185,-0.435225742508598,-0.310451700269555,-0.49682504750868
"G/BG",3,"5","E",0.2462335,1.22768061048692,-1.74191532444962,1.22768061048692,-1.74191532444962,-0.483620935457205,3.50109409190372,1.75054704595186,0,4,1.75054704595186,"fulton3",0.0280651789826926,0.558128653453841,-0.574713523161421,-0.652362131481748,-0.782193544711722
"G/BG",4,"5","E",0.3578154,-0.355585387843642,-0.340423785768409,-0.355585387843642,-0.340423785768409,1.12703246080258,3.50109409190372,1.75054704595186,0,4,1.75054704595186,"fulton4",0.0268242862509391,0.0537189668068935,-0.574713523161421,-0.652362131481748,-0.782193544711722
"G/BR",3,"5","E",0.2336066,-0.717839266736211,-0.317622352330526,-0.717839266736211,-0.317622352330526,-0.665886691545178,6.86378035902851,0,5,18,6.86378035902851,"fulton3",0.0261199180331045,-0.232599216022624,-0.892513516958671,0.72192937609804,-0.311906872791194
"G/BR",4,"5","E",0.3147541,0.71765613107939,0.432659161633477,0.717656131079389,0.432659161633477,0.505454686160262,6.86378035902851,0,5,18,6.86378035902851,"fulton4",0.0264993782649833,-0.0783526709675236,-0.892513516958671,0.72192937609804,-0.311906872791194
