"ID_fish","num_fish","cage","trial","boldness","bassin_bold","date_bold","exp_bold","video_bold","exploration","activity","bassin_exp","date_act","video_act","exp_act","mass_1","mass_2","mass_3","mass_4","TL_1","TL_2","TL_3","TL_4","SL_1","SL_2","SL_3","SL_4","BS_pre","BS_post_corps","BS_muscle","BS_post_tot","P04_alive","P04_dead","P013_alive","P013_dead","P06","gonade","treatment","P04_tot","parasite_load","adj_mass3","adj_mass4","dens_tot","dens_bs","dens_ces","fulton1","fulton2","fulton3","fulton4","log_boldness","log_activity","id","z_log_activity","z_log_boldness","z_exploration","tank1","tank2","(id = ID_fish)"
"GR/R",19,"4",2,122,4,"06/07/2022","MG",4568,0.2581967,767.84,4,"03/07/2022",4551,"MG",1.5,1.9,1.8,1.7,47.2,48.6,50,50.6,38.5,42,39.1,39.9,1,4,1,5,15,0,0,0,0,0,"C",15,20,1.755,1.655,14.0634441087613,3.02114803625378,9.06344410876133,0.0262850659207549,0.0256451787064032,0.0293593778729427,0.026054294094795,0.198399352893979,-0.10212938844687,"GR/R",-0.10212938844687,0.198399352893979,-0.310935502513913,"4","4","GR/R"
"R/RR",23,"4",2,68,1,"04/07/2022","JAP",1,0.2609277,602.03,1,"02/07/2022",13,"JAP",1.6,1.7,1.7,1.6,47.8,47.5,48.6,48.6,40.8,38.2,39.1,39.4,2,6,8,14,36,11,0,0,0,0,"C",47,50,1.559,1.459,38.6744345442084,9.59561343385881,24.6744345442084,0.0235580583636761,0.0304971202825081,0.0260804957857081,0.0238542972331108,-0.415630127217287,-0.747343824080726,"R/RR",-0.747343824080726,-0.415630127217287,-0.271514284330808,"1","1","R/RR"
"B/BB",25,"5",1,234,4,"29/06/2022","MG",522,0.2346851,1199.58,3,"23/06/2022",954,"MG",2,1.9,1.9,1.9,50.9,48.8,50.1,51.7,39.1,41.3,39.6,40.9,4,6,3,9,4,1,1,0,0,0,"C",5,13,1.885,1.885,11.1220159151194,4.77453580901857,2.12201591511936,0.033457980481986,0.0269713972732514,0.0303546896369057,0.0275512577996917,0.882588090254451,1.08114269010892,"B/BB",1.08114269010892,0.882588090254451,-0.650318846869059,"4","3","B/BB"
"B/BR",28,"5",1,275,3,"28/06/2022","MG",965,0.1935484,666.86,1,"22/06/2022",946,"JAP",1.5,1.8,1.6,1.5,45.4,44.4,46.5,48.1,38.9,39.9,40.2,39.2,4,6,3,9,2,8,0,0,2,1,"C",10,13,1.5684,1.4684,11.7240533914465,6.12912013075456,2.72405339144647,0.0254825247725392,0.0283369965985686,0.024142301782836,0.0243773321490195,1.05219080415692,-0.476094563606191,"B/BR",-0.476094563606192,1.05219080415692,-1.24411556090529,"3","1","B/BR"
"B/RG",29,"5",1,37,1,"29/06/2022","JAP",4633,0.2225225,697.01,4,"23/06/2022",4503,"MG",1.9,2.1,2.5,2.5,50,50.4,55.1,55.2,39.6,41.5,44.3,44.3,0,4,1,5,4,0,0,0,1,0,"C",4,10,2.4872,2.4872,7.01029269861692,2.01029269861692,2.01029269861692,0.0305962388913108,0.0293815704099603,0.0286087926694961,0.0286087926694961,-1.05495184773183,-0.358814742331158,"B/RG",-0.358814742331158,-1.05495184773183,-0.825882562824328,"1","4","B/RG"
"G/BG",30,"5",1,174,1,"30/06/2022","JAP",4647,0.2747748,1140.55,1,"24/06/2022",4593,"JAP",2,1.9,2.2,2.3,51.6,50.4,54.6,54.1,41.2,42.2,42.7,44,0,3,1,4,4,1,0,0,0,0,"C",5,8,2.185,2.285,5.75054704595186,1.75054704595186,1.75054704595186,0.0285981768547862,0.0252822806554572,0.0280651789826926,0.0268242862509391,0.571361754172953,0.947309714099522,"G/BG",0.947309714099522,0.571361754172953,-0.0716352838535907,"1","1","G/BG"
"G/BR",27,"5",1,180,1,"30/06/2022","JAP",4648,0.2828829,725.64,3,"24/06/2022",958,"MG",1.9,1.7,1.9,1.9,50.5,49.4,51.3,51.3,41.4,41.4,41.7,41.5,5,14,4,18,0,2,0,0,0,0,"C",2,18,1.894,1.894,18,9.50369588173178,0,0.0267764240745194,0.0239578531193068,0.0261199180331045,0.0264993782649833,0.606975230789509,-0.252051903048258,"G/BR",-0.252051903048258,0.606975230789509,0.0454028630341567,"1","3","G/BR"
"G/RB",26,"5",1,31,3,"28/06/2022","MG",964,0.2313243,1545.76,2,"22/06/2022",563,"JAP",1.3,1.2,1.6,2.6,44.7,44.5,47.4,52.1,38.1,36.3,37.2,44.8,2,4,3,7,7,4,0,0,2,0,"C",11,16,1.5654,2.5654,10.5082248382319,2.72861931862478,3.50822483823185,0.0235054421698228,0.0250877302246123,0.0304086058802248,0.0285312663709457,-1.24081701691504,1.75359561423127,"G/RB",1.75359561423127,-1.24081701691504,-0.698831051215373,"3","2","G/RB"
"B/BB",25,"5",2,127,4,"05/07/2022","MG",4560,0.2234685,996.02,1,"02/07/2022",11,"JAP",2,1.9,1.9,1.9,50.9,48.8,50.1,51.7,39.1,41.3,39.6,40.9,4,6,3,9,4,1,1,0,0,0,"C",5,13,1.885,1.885,11.1220159151194,4.77453580901857,2.12201591511936,0.033457980481986,0.0269713972732514,0.0303546896369057,0.0275512577996917,0.240593657197488,0.587938880111294,"B/BB",0.587938880111294,0.240593657197488,-0.812227318444535,"4","1","B/BB"
"B/BR",28,"5",2,117,2,"04/07/2022","JAP",612,0.2364865,779.23,4,"01/07/2022",4536,"MG",1.5,1.8,1.6,1.5,45.4,44.4,46.5,48.1,38.9,39.9,40.2,39.2,4,6,3,9,2,8,0,0,2,1,"C",10,13,1.5684,1.4684,11.7240533914465,6.12912013075456,2.72405339144647,0.0254825247725392,0.0283369965985686,0.024142301782836,0.0243773321490195,0.154439091563892,-0.0630759027418318,"B/BR",-0.0630759027418319,0.154439091563892,-0.624316143670581,"2","4","B/BR"
"B/RG",29,"5",2,69,2,"05/07/2022","JAP",617,0.3229951,762.34,2,"02/07/2022",595,"JAP",1.9,2.1,2.5,2.5,50,50.4,55.1,55.2,39.6,41.5,44.3,44.3,0,4,1,5,4,0,0,0,1,0,"C",4,10,2.4872,2.4872,7.01029269861692,2.01029269861692,2.01029269861692,0.0305962388913108,0.0293815704099603,0.0286087926694961,0.0286087926694961,-0.400294132959892,-0.121195416811781,"B/RG",-0.121195416811781,-0.400294132959893,0.62441120723202,"2","2","B/RG"
"G/BG",30,"5",2,33,2,"06/07/2022","JAP",635,0.3338075,511.82,2,"03/07/2022",610,"JAP",2,1.9,2.2,2.3,51.6,50.4,54.6,54.1,41.2,42.2,42.7,44,0,3,1,4,4,1,0,0,0,0,"C",5,8,2.185,2.285,5.75054704595186,1.75054704595186,1.75054704595186,0.0285981768547862,0.0252822806554572,0.0280651789826926,0.0268242862509391,-1.17513957262831,-1.17788870739618,"G/BG",-1.17788870739618,-1.17513957262831,0.780485165299765,"2","2","G/BG"
"G/BR",27,"5",2,197,3,"06/07/2022","MG",1017,0.2437174,447.82,3,"03/07/2022",1004,"MG",1.9,1.7,1.9,1.9,50.5,49.4,51.3,51.3,41.4,41.4,41.7,41.5,5,14,4,18,0,2,0,0,0,0,"C",2,18,1.894,1.894,18,9.50369588173178,0,0.0267764240745194,0.0239578531193068,0.0261199180331045,0.0264993782649833,0.701779300665006,-1.53217549349447,"G/BR",-1.53217549349447,0.701779300665006,-0.51994013248046,"3","3","G/BR"
"G/RB",26,"5",2,55,2,"04/07/2022","JAP",613,0.262309,1120.79,3,"02/07/2022",992,"MG",1.3,1.2,1.6,2.6,44.7,44.5,47.4,52.1,38.1,36.3,37.2,44.8,2,4,3,7,7,4,0,0,2,0,"C",11,16,1.5654,2.5654,10.5082248382319,2.72861931862478,3.50822483823185,0.0235054421698228,0.0250877302246123,0.0304086058802248,0.0285312663709457,-0.638518813166789,0.900957516881947,"G/RB",0.900957516881947,-0.638518813166789,-0.251575606675618,"2","3","G/RB"
"B/BG",33,"6",1,289,2,"30/06/2022","JAP",12,0.2822581,1155.3,3,"24/06/2022",960,"MG",2.6,2.7,3,3,56.4,54.1,57.9,57.6,47.2,49.1,46,47.4,4,6,11,17,6,4,0,0,0,0,"C",10,23,2.97,2.97,19.020202020202,5.72390572390572,2.02020202020202,0.0247256292025962,0.0228096850023897,0.0305128626612969,0.0278882603607423,1.1043538504429,0.981389172335183,"B/BG",0.981389172335183,1.1043538504429,0.0363840504670372,"2","3","B/BG"
"G/GG",31,"6",1,185,4,"29/06/2022","MG",523,0.3841382,1285.91,3,"23/06/2022",952,"MG",2.6,2.5,3.2,3.1,55.6,57.9,59,57.5,44.1,46.6,47.1,50,8,8,11,19,5,2,0,0,0,0,"C",7,24,3.179,3.079,20.6239038648912,6.17083468658655,1.6239038648912,0.030315000488363,0.0247048521199174,0.0304248052183202,0.024632,0.635757769591885,1.26545852846664,"G/GG",1.26545852846664,0.635757769591884,1.50699468782208,"4","3","G/GG"
"R/BG",35,"6",1,89,1,"28/06/2022","JAP",4618,0.08522167,439.98,3,"22/06/2022",4583,"MG",2.3,3.1,2.5,2.3,53.4,53,54.7,54.6,43.3,45.5,43.5,44.2,11,6,6,12,8,4,0,0,0,0,"C",12,20,2.464,2.264,15.5335689045936,5.30035335689046,3.53356890459364,0.0283311463125467,0.0329099713232064,0.0299345636997857,0.0262186070396867,-0.132911286094547,-1.57901910903407,"R/BG",-1.57901910903407,-0.132911286094547,-2.80778149220971,"1","3","R/BG"
"R/BR",36,"6",1,36,2,"30/06/2022","JAP",13,0.2615519,1792.04,4,"24/06/2022",4511,"MG",2.3,2.2,2,2,53.1,51.2,51.6,52.2,43.4,43.1,43.6,43.9,0,2,2,4,26,10,0,0,0,1,"C",36,30,1.892,1.892,17.7420718816068,2.11416490486258,13.7420718816068,0.0281357597873543,0.0274783638797606,0.0228276741293052,0.0223628716570092,-1.0837343865342,2.14569578521,"R/BR",2.14569578521,-1.0837343865342,-0.262504132595218,"2","4","R/BR"
"R/RB",32,"6",1,96,2,"29/06/2022","JAP",582,0.328755,1610.36,2,"23/06/2022",572,"JAP",2.2,1.9,1.8,1.8,53.8,52.4,51.2,50.9,44,42.4,41,41.5,0,5,2,7,29,18,0,0,0,0,"C",47,36,1.659,1.659,24.4804098854732,4.21940928270042,17.4804098854732,0.0258264462809917,0.0249261974650215,0.0240710378549354,0.0232114406238687,-0.0533762483247182,1.86218262219758,"R/RB",1.86218262219758,-0.0533762483247185,0.707553746453138,"2","2","R/RB"
"R/RG",34,"6",1,123,3,"01/07/2022","MG",983,0.2413024,767.99,3,"22/06/2022",4581,"MG",2.1,1.8,1.9,1.9,51.8,50.4,52.6,52.4,44.9,44.2,43.2,43.2,0,0,1,1,9,8,1,0,0,1,"C",17,10,1.849,1.849,5.86749594375338,0.540832882639264,4.86749594375338,0.0231995879664798,0.0208451822753693,0.0229343095882233,0.0229343095882233,0.206974885817741,-0.101611320992599,"R/RG",-0.101611320992599,0.206974885817741,-0.554799979390823,"3","3","R/RG"
"B/BG",33,"6",2,73,2,"05/07/2022","JAP",619,0.3481982,744.95,1,"03/07/2022",7,"JAP",2.6,2.7,3,3,56.4,54.1,57.9,57.6,47.2,49.1,46,47.4,4,6,11,17,6,4,0,0,0,0,"C",10,23,2.97,2.97,19.020202020202,5.72390572390572,2.02020202020202,0.0247256292025962,0.0228096850023897,0.0305128626612969,0.0278882603607423,-0.341095545020992,-0.182396658148502,"B/BG",-0.182396658148502,-0.341095545020992,0.988210879143638,"2","1","B/BG"
"G/GG",31,"6",2,115,2,"05/07/2022","JAP",618,0.2421185,883.17,1,"02/07/2022",12,"JAP",2.6,2.5,3.2,3.1,55.6,57.9,59,57.5,44.1,46.6,47.1,50,8,8,11,19,5,2,0,0,0,0,"C",7,24,3.179,3.079,20.6239038648912,6.17083468658655,1.6239038648912,0.030315000488363,0.0247048521199174,0.0304248052183202,0.024632,0.136326626501623,0.26901139377995,"G/GG",0.26901139377995,0.136326626501623,-0.543019805037388,"2","1","G/GG"
"R/BG",35,"6",2,157,4,"04/07/2022","MG",4555,0.2597343,544.21,4,"02/07/2022",4540,"MG",2.3,3.1,2.5,2.3,53.4,53,54.7,54.6,43.3,45.5,43.5,44.2,11,6,6,12,8,4,0,0,0,0,"C",12,20,2.464,2.264,15.5335689045936,5.30035335689046,3.53356890459364,0.0283311463125467,0.0329099713232064,0.0299345636997857,0.0262186070396867,0.463360694493106,-1.01514315456188,"R/BG",-1.01514315456188,0.463360694493106,-0.288740678245022,"4","4","R/BG"
"R/BR",36,"6",2,18,4,"06/07/2022","MG",4566,0.3545045,941.9,3,"03/07/2022",1001,"MG",2.3,2.2,2,2,53.1,51.2,51.6,52.2,43.4,43.1,43.6,43.9,0,2,2,4,26,10,0,0,0,1,"C",36,30,1.892,1.892,17.7420718816068,2.11416490486258,13.7420718816068,0.0281357597873543,0.0274783638797606,0.0228276741293052,0.0223628716570092,-1.81188338522476,0.439764512987739,"R/BR",0.439764512987739,-1.81188338522476,1.07924054894522,"4","3","R/BR"
"R/RB",32,"6",2,175,1,"04/07/2022","JAP",2,0.3671171,766.86,2,"02/07/2022",597,"JAP",2.2,1.9,1.8,1.8,53.8,52.4,51.2,50.9,44,42.4,41,41.5,0,5,2,7,29,18,0,0,0,0,"C",47,36,1.659,1.659,24.4804098854732,4.21940928270042,17.4804098854732,0.0258264462809917,0.0249261974650215,0.0240710378549354,0.0232114406238687,0.57738181047297,-0.1055165884253,"R/RB",-0.105516588425301,0.57738181047297,1.26129988854838,"1","2","R/RB"
"R/RG",34,"6",2,82,3,"06/07/2022","MG",1019,0.1397757,618.82,1,"02/07/2022",14,"JAP",2.1,1.8,1.9,1.9,51.8,50.4,52.6,52.4,44.9,44.2,43.2,43.2,0,0,1,1,9,8,1,0,0,1,"C",17,10,1.849,1.849,5.86749594375338,0.540832882639264,4.86749594375338,0.0231995879664798,0.0208451822753693,0.0229343095882233,0.0229343095882233,-0.218964973353893,-0.67438900789674,"R/RG",-0.67438900789674,-0.218964973353894,-2.02030938697438,"3","1","R/RG"
"B/GB",37,"7",1,169,3,"01/07/2022","MG",985,0.1148649,476.78,3,"22/06/2022",4586,"MG",1.8,1.9,1.6,1.7,50.5,51.5,50,50.4,42.9,41,39.8,41.4,0,6,3,9,8,8,0,2,6,0,"C",16,23,1.5472,1.6472,17.4992714910151,5.46381738708111,8.49927149101506,0.0227982036383425,0.02756779501168,0.0245412816969878,0.0232137503871307,0.540732851318714,-1.36597781769177,"B/GB",-1.36597781769177,0.540732851318714,-2.37988979045871,"3","3","B/GB"
"G/GB",38,"7",1,310,2,"29/06/2022","JAP",585,0.1937015,732.63,1,"23/06/2022",4592,"JAP",2.1,2.3,2.5,2.6,53.5,53.1,56.1,55.6,44.9,43.4,44.6,45.2,2,7,0,7,1,2,0,0,4,0,"C",3,12,2.4878,2.5878,8.9321431331633,2.70500038642863,1.9321431331633,0.0231995879664798,0.0281357597873543,0.0280421228349132,0.0280230501553472,1.17804159909923,-0.226625744147175,"G/GB",-0.226625744147175,1.17804159909923,-1.24190560539309,"2","1","G/GB"
"OG/B",42,"7",1,127,1,"30/06/2022","JAP",16,0.2750424,1388.8,4,"24/06/2022",4513,"MG",2.1,2.7,2.2,2.3,50.3,50.4,51.7,53.9,41.1,43.1,41.8,44.6,14,6,5,11,0,8,0,0,6,1,"C",8,17,2.1712,2.2712,13.6417752729834,4.84325466713632,2.64177527298345,0.0302478025295546,0.0337234465797062,0.0297283622925628,0.0256006388707512,0.240593657197488,1.46960835611831,"OG/B",1.46960835611831,0.240593657197488,-0.0677725529909761,"1","4","OG/B"
"OG/G",40,"7",1,662,4,"30/06/2022","MG",532,0.1271186,293.83,3,"24/06/2022",963,"MG",1.8,1.7,1.8,1.8,51.6,48.8,50.5,51.2,40.5,41,40.1,40.2,4,2,3,5,1,2,0,0,2,1,"C",3,8,1.7894,1.7894,6.67653962221974,2.79423270369956,1.67653962221974,0.0270961404934885,0.0246659218525558,0.0277507238117354,0.0275441435923277,1.9750465526692,-2.64979101040929,"OG/G",-2.64979101040929,1.9750465526692,-2.20301107158273,"4","3","OG/G"
"OO/B",39,"7",1,83,2,"01/07/2022","JAP",590,0.2895238,613.28,3,"22/06/2022",4584,"MG",1.8,2,1.8,1.9,49,50.5,51.5,49,40.1,42.1,39.1,41.8,4,9,4,13,0,3,0,0,3,1,"C",3,16,1.7886,1.8886,14.5884782378481,6.88340569734195,1.58847823784814,0.0279151128093907,0.0268030186256455,0.02992147194504,0.0258589651002828,-0.206231521091613,-0.6982399166141,"OO/B",-0.698239916614101,-0.206231521091613,0.141262389885927,"2","3","OO/B"
"R/GB",41,"7",1,414,1,"29/06/2022","JAP",2,0.2007089,621.97,4,"23/06/2022",4508,"MG",1.8,1.8,2,2.2,51.7,50,51.8,53.2,42.8,41.1,41.6,42.6,0,9,6,15,2,4,0,0,0,0,"C",6,17,1.982,2.182,15.916590284143,6.87442713107241,0.916590284142988,0.0229583777875552,0.0259266878824754,0.0275311059825899,0.0282244799736578,1.48194372359286,-0.660922611368951,"R/GB",-0.660922611368952,1.48194372359286,-1.14075575394809,"1","4","R/GB"
"B/GB",37,"7",2,87,4,"06/07/2022","MG",4571,0.3148148,431.65,4,"02/07/2022",4543,"MG",1.8,1.9,1.6,1.7,50.5,51.5,50,50.4,42.9,41,39.8,41.4,0,6,3,9,8,8,0,2,6,0,"C",16,23,1.5472,1.6472,17.4992714910151,5.46381738708111,8.49927149101506,0.0227982036383425,0.02756779501168,0.0245412816969878,0.0232137503871307,-0.156787244517606,-1.62971400667286,"B/GB",-1.62971400667286,-0.156787244517606,0.506330873616767,"4","4","B/GB"
"G/GB",38,"7",2,76,3,"04/07/2022","MG",1009,0.2981982,435.74,1,"02/07/2022",18,"JAP",2.1,2.3,2.5,2.6,53.5,53.1,56.1,55.6,44.9,43.4,44.6,45.2,2,7,0,7,1,2,0,0,4,0,"C",3,12,2.4878,2.5878,8.9321431331633,2.70500038642863,1.9321431331633,0.0231995879664798,0.0281357597873543,0.0280421228349132,0.0280230501553472,-0.298787936834567,-1.6047018977019,"G/GB",-1.6047018977019,-0.298787936834567,0.266474918266569,"3","1","G/GB"
"OG/B",42,"7",2,378,2,"05/07/2022","JAP",622,0.311956,893.12,2,"03/07/2022",605,"JAP",2.1,2.7,2.2,2.3,50.3,50.4,51.7,53.9,41.1,43.1,41.8,44.6,14,6,5,11,0,8,0,0,6,1,"C",8,17,2.1712,2.2712,13.6417752729834,4.84325466713632,2.64177527298345,0.0302478025295546,0.0337234465797062,0.0297283622925628,0.0256006388707512,1.38637814810269,0.298724766356577,"OG/B",0.298724766356577,1.38637814810269,0.46506489831766,"2","2","OG/B"
"OG/G",40,"7",2,743,4,"05/07/2022","MG",4565,0.1699074,616.19,4,"03/07/2022",4549,"MG",1.8,1.7,1.8,1.8,51.6,48.8,50.5,51.2,40.5,41,40.1,40.2,4,2,3,5,1,2,0,0,2,1,"C",3,8,1.7894,1.7894,6.67653962221974,2.79423270369956,1.67653962221974,0.0270961404934885,0.0246659218525558,0.0277507238117354,0.0275441435923277,2.09630592900565,-0.685684993420905,"OG/G",-0.685684993420905,2.09630592900565,-1.58536675792719,"4","4","OG/G"
"OO/B",39,"7",2,28,1,"06/07/2022","JAP",4676,0.3394539,809.29,2,"02/07/2022",599,"JAP",1.8,2,1.8,1.9,49,50.5,51.5,49,40.1,42.1,39.1,41.8,4,9,4,13,0,3,0,0,3,1,"C",3,16,1.7886,1.8886,14.5884782378481,6.88340569734195,1.58847823784814,0.0279151128093907,0.0268030186256455,0.02992147194504,0.0258589651002828,-1.34773942679333,0.0373131444682855,"OO/B",0.0373131444682855,-1.34773942679333,0.86198936388969,"1","2","OO/B"
"R/GB",41,"7",2,74,2,"04/07/2022","JAP",614,0.2564815,406.79,1,"02/07/2022",16,"JAP",1.8,1.8,2,2.2,51.7,50,51.8,53.2,42.8,41.1,41.6,42.6,0,9,6,15,2,4,0,0,0,0,"C",6,17,1.982,2.182,15.916590284143,6.87442713107241,0.916590284142988,0.0229583777875552,0.0259266878824754,0.0275311059825899,0.0282244799736578,-0.326802849041266,-1.78703788659315,"R/GB",-1.78703788659315,-0.326802849041266,-0.335693932915841,"2","1","R/GB"
"OB/O",44,"8",1,319,2,"01/07/2022","JAP",589,0.2290651,870.74,2,"22/06/2022",567,"JAP",2.3,2.8,2.7,3.1,56.1,56,55.8,56.2,47.2,46.1,44.9,46.8,4,4,2,6,3,2,0,0,1,1,"C",5,10,2.6842,3.0842,7.2969327540367,1.94539913105505,1.2969327540367,0.021872671986912,0.028579541370014,0.0296534923902976,0.0300888073460942,1.20810556676941,0.231418194074851,"OB/O",0.231418194074851,1.20810556676941,-0.731441968871642,"2","2","OB/O"
"OG/O",46,"8",1,44,2,"30/06/2022","JAP",586,0.2139776,1124.12,3,"24/06/2022",961,"MG",2.3,2.2,2.3,2.3,53.2,53.3,53.9,53.9,45.8,44.1,43.2,45.1,6,16,14,30,1,6,0,0,0,1,"C",7,31,2.279,2.279,30.4387889425186,13.1636682755595,0.438788942518649,0.0239403999787159,0.0256511542593841,0.0282678699575776,0.0248436098033211,-0.872930433109382,0.908825869488264,"OG/O",0.908825869488264,-0.872930433109382,-0.949225795066298,"2","3","OG/O"
"OO/G",43,"8",1,125,4,"28/06/2022","MG",13,0.2516615,859.44,2,"22/06/2022",568,"JAP",2.2,2.4,2.3,2.2,50.5,52.6,54.1,53.3,43.4,43.3,42.8,44.5,4,5,4,9,0,2,0,0,0,1,"C",2,9,2.294,2.194,9,4.102096627165,0,0.0269124658835563,0.0295629352826574,0.0292591770248065,0.024897548686538,0.223918752331424,0.196773915076072,"OO/G",0.196773915076072,0.223918752331423,-0.40526927954439,"4","2","OO/G"
"OO/O",45,"8",1,136,3,"30/06/2022","MG",981,0.2240437,1512.87,1,"24/06/2022",5,"JAP",3.2,3.1,3.8,4.1,59.4,61.3,63.1,66.1,50.5,48.8,51.3,51.5,2,5,1,6,2,6,0,0,1,0,"C",8,9,3.7752,4.0752,6.73616018845701,1.47232037691402,0.736160188457008,0.0248471077869477,0.0266748648565298,0.027963264394687,0.029835082321568,0.312518871473272,1.69655399227644,"OO/O",1.69655399227644,0.312518871473272,-0.803924467950604,"3","1","OO/O"
"R/GG",47,"8",1,30,3,"29/06/2022","MG",974,0.2222222,899.2,4,"23/06/2022",4506,"MG",2.9,2.7,2.9,2.9,56.8,58.6,58.3,59,45.9,47.8,46.7,46.5,0,6,0,6,4,2,0,0,4,1,"C",6,14,2.8788,2.8788,8.77893566763929,2.08420175072947,2.77893566763929,0.029988858932087,0.0247217991844224,0.0282657720538684,0.0286320626289073,-1.27526262576324,0.316718773578994,"R/GG",0.316718773578994,-1.27526262576324,-0.830217309005356,"3","4","R/GG"
"R/GR",48,"8",1,227,2,"29/06/2022","JAP",584,0.3777589,1421.29,2,"23/06/2022",1,"JAP",2.3,1.8,2.2,2.7,51.5,53.2,54.1,54.2,44.1,43.2,43.3,44.1,2,2,2,4,3,0,0,0,4,0,"C",3,11,2.1878,2.6878,6.60436044348538,1.48820596770593,2.60436044348538,0.0268171158166288,0.0223265317786923,0.0269490790880825,0.0313387147356239,0.850683344584282,1.53094034257899,"R/GR",1.53094034257899,0.850683344584282,1.41491128351761,"2","2","R/GR"
"OB/O",44,"8",2,281,2,"06/07/2022","JAP",638,0.2893221,778.71,2,"02/07/2022",600,"JAP",2.3,2.8,2.7,3.1,56.1,56,55.8,56.2,47.2,46.1,44.9,46.8,4,4,2,6,3,2,0,0,1,1,"C",5,10,2.6842,3.0842,7.2969327540367,1.94539913105505,1.2969327540367,0.021872671986912,0.028579541370014,0.0296534923902976,0.0300888073460942,1.07486428035129,-0.0648463819385603,"OB/O",-0.0648463819385604,1.07486428035129,0.13835090701975,"2","2","OB/O"
"OG/O",46,"8",2,69,1,"05/07/2022","JAP",4660,0.2800546,725.2,4,"03/07/2022",4546,"MG",2.3,2.2,2.3,2.3,53.2,53.3,53.9,53.9,45.8,44.1,43.2,45.1,6,16,14,30,1,6,0,0,0,1,"C",7,31,2.279,2.279,30.4387889425186,13.1636682755595,0.438788942518649,0.0239403999787159,0.0256511542593841,0.0282678699575776,0.0248436098033211,-0.400294132959892,-0.253660589356282,"OG/O",-0.253660589356282,-0.400294132959893,0.00457714667118434,"1","4","OG/O"
"OO/G",43,"8",2,65,1,"04/07/2022","JAP",5,0.3747748,702.3,4,"02/07/2022",4545,"MG",2.2,2.4,2.3,2.2,50.5,52.6,54.1,53.3,43.4,43.3,42.8,44.5,4,5,4,9,0,2,0,0,0,1,"C",2,9,2.294,2.194,9,4.102096627165,0,0.0269124658835563,0.0295629352826574,0.0292591770248065,0.024897548686538,-0.463029006836787,-0.33876162016907,"OO/G",-0.33876162016907,-0.463029006836787,1.37183663790055,"1","4","OO/G"
"OO/O",45,"8",2,40,1,"06/07/2022","JAP",4677,0.2729287,813.04,4,"03/07/2022",4548,"MG",3.2,3.1,3.8,4.1,59.4,61.3,63.1,66.1,50.5,48.8,51.3,51.5,2,5,1,6,2,6,0,0,1,0,"C",8,9,3.7752,4.0752,6.73616018845701,1.47232037691402,0.736160188457008,0.0248471077869477,0.0266748648565298,0.027963264394687,0.029835082321568,-0.97305348624432,0.0495742897476642,"OO/O",0.0495742897476641,-0.973053486244321,-0.0982832190010933,"1","4","OO/O"
"R/GG",47,"8",2,91,3,"05/07/2022","MG",1014,0.3498117,819.51,4,"02/07/2022",4542,"MG",2.9,2.7,2.9,2.9,56.8,58.6,58.3,59,45.9,47.8,46.7,46.5,0,6,0,6,4,2,0,0,4,1,"C",6,14,2.8788,2.8788,8.77893566763929,2.08420175072947,2.77893566763929,0.029988858932087,0.0247217991844224,0.0282657720538684,0.0286320626289073,-0.10956594869524,0.0705964943906105,"R/GG",0.0705964943906104,-0.109565948695241,1.01150129860114,"3","4","R/GG"
"R/GR",48,"8",2,189,4,"04/07/2022","MG",4559,0.3177388,835.51,3,"02/07/2022",993,"MG",2.3,1.8,2.2,2.7,51.5,53.2,54.1,54.2,44.1,43.2,43.3,44.1,2,2,2,4,3,0,0,0,4,0,"C",3,11,2.1878,2.6878,6.60436044348538,1.48820596770593,2.60436044348538,0.0268171158166288,0.0223265317786923,0.0269490790880825,0.0313387147356239,0.658229149412132,0.121878908712549,"R/GR",0.121878908712549,0.658229149412132,0.548537992608858,"4","3","R/GR"
"B/OB",52,"9",1,224,2,"28/06/2022","JAP",580,0.2986265,1094.83,2,"22/06/2022",566,"JAP",1.9,2.1,2.2,2.1,51.1,51.2,54.3,54.2,43.4,42.1,43.2,44.3,2,2,2,4,1,4,0,0,0,1,"C",5,5,2.185,2.085,4.47961630695444,1.91846522781775,0.479616306954436,0.0232425841721623,0.0281431695569277,0.0271019288535792,0.0239825236072287,0.836707569278344,0.838803745977329,"B/OB",0.838803745977329,0.836707569278344,0.272657308507442,"2","2","B/OB"
"BB/O",50,"9",1,423,3,"30/06/2022","MG",982,0.1781125,970.7,4,"24/06/2022",4512,"MG",1.8,1.6,1.8,1.9,46.4,49.5,50,50.5,41.1,40.8,42,42.4,0,6,1,7,4,4,0,0,44,1,"C",8,55,1.7408,1.8408,33.0756192959583,3.80269448066058,26.0756192959583,0.0259266878824754,0.0235580583636761,0.0234963826800561,0.0241495496282166,1.50453592657149,0.519644752883657,"BB/O",0.519644752883657,1.50453592657149,-1.46692844327534,"3","4","BB/O"
"G/OG",53,"9",1,231,3,"28/06/2022","MG",967,0.2790309,961.25,1,"22/06/2022",949,"JAP",2,1.8,2.4,2.5,52,53.3,56,56.4,42.5,43.4,46.2,45.9,2,8,4,12,2,4,0,0,0,0,"C",6,14,2.382,2.482,12.8058017727639,4.8348106365834,0.8058017727639,0.0260533279055567,0.0220192902683643,0.0241554888206937,0.025666326851531,0.869033102836951,0.493698324384701,"G/OG",0.493698324384701,0.869033102836951,-0.0101996753918122,"3","1","G/OG"
