"ID_fish","num_fish","cage","trial","boldness","bassin_bold","date_bold","exp_bold","video_bold","exploration","activity","bassin_exp","date_act","video_act","exp_act","mass_1","mass_2","mass_3","mass_4","TL_1","TL_2","TL_3","TL_4","SL_1","SL_2","SL_3","SL_4","BS_pre","BS_post_corps","BS_muscle","BS_post_tot","P04_alive","P04_dead","P013_alive","P013_dead","P06","gonade","treatment","P04_tot","parasite_load","adj_mass3","adj_mass4","dens_tot","dens_bs","dens_ces","fulton1","fulton2","fulton3","fulton4","log_boldness","log_activity","id","z_log_activity","z_log_boldness","z_exploration","tank1","tank2","(id = ID_fish)"
"RR/R",2,"1",2,146,4,"06/07/2022","MG",4567,0.279701,914.09,1,"03/07/2022",8,"JAP",2.4,2,2.1,2.1,52.9,52.4,54.4,51.4,41.7,43.2,42.2,41.1,0,0,0,0,7,0,0,0,2,1,"C",7,9,2.0774,2.0774,4.33233850004814,0,4.33233850004814,0.0330981009923183,0.0248072575318803,0.0276428472808668,0.0299222785594746,0.387053453669567,0.360277521674472,"RR/R",0.360277521674472,0.387053453669567,-0.000526970044138429,"4","1","RR/R"
"BB/B",7,"2",1,62,4,"28/06/2022","MG",517,0.3416667,1473.15,2,"22/06/2022",564,"JAP",3.8,4.3,3.3,3.2,59.8,60.1,62.7,62.4,47.2,48.8,50.2,49.5,4,8,9,17,20,0,0,0,0,0,"C",20,37,3.24,3.14,23.3694267515924,5.4140127388535,6.36942675159236,0.0361374580653329,0.0370006189945414,0.0256114318301784,0.0258889270214645,-0.512668018224483,1.62599045539853,"BB/B",1.62599045539853,-0.512668018224483,0.893930510574266,"4","2","BB/B"
"BB/G",12,"2",1,255,3,"30/06/2022","MG",978,0.3524904,1008.07,4,"24/06/2022",4510,"MG",3.2,2.6,2.8,2.4,56.9,56.6,58.9,56.6,45.8,45.5,46.4,46.6,28,40,22,62,17,0,0,0,2,0,"C",17,81,2.7474,2.3474,70.0940615148675,26.4122007327256,8.09406151486751,0.0333083825790831,0.0276019114323667,0.0275022326919923,0.0231968679465177,0.972870350587499,0.619833193404474,"BB/G",0.619833193404474,0.972870350587498,1.05016758096917,"3","4","BB/G"
"RB/B",11,"2",1,597,4,"28/06/2022","MG",518,0.3126177,632.55,1,"22/06/2022",948,"JAP",2.8,3.2,2.6,2.5,56.1,55.2,58.1,57.7,45.2,44.9,45.2,46.4,6,11,6,17,5,0,0,0,1,1,"C",5,23,2.5842,2.4842,19.4152644714596,6.84324933580227,2.41526447145962,0.0303209445996492,0.0353517530917787,0.0279840660837191,0.0248675280095535,1.86647932904702,-0.616186670963029,"RB/B",-0.616186670963029,1.86647932904701,0.474616352023907,"4","1","RB/B"
"RB/G",8,"2",1,169,4,"30/06/2022","MG",527,0.3649698,1561.4,3,"24/06/2022",959,"MG",2.6,2.4,2.7,2.4,54.1,54.2,56.6,55.9,44.3,44.6,44.6,46,2,6,3,9,7,4,0,0,1,0,"C",11,17,2.6662,2.3662,12.3809483560139,3.80356690051559,3.38094835601386,0.0299062644502613,0.0270524538965318,0.0300530219078887,0.0243096079559464,0.540732851318714,1.78029584380467,"RB/G",1.78029584380467,0.540732851318714,1.23030421597256,"4","3","RB/G"
"RB/R",10,"2",1,166,2,"29/06/2022","JAP",581,0.2738148,1146.72,2,"23/06/2022",573,"JAP",1.9,1.6,2,2,48.3,52.7,52.6,51,40.5,44,42.8,41.9,4,20,1,21,28,8,0,0,3,0,"C",36,52,1.8896,1.8896,37.4055884843353,11.1134631668078,16.4055884843353,0.0286014816320156,0.0187828700225394,0.0241011948152024,0.0256878532411182,0.521917477598946,0.961618638198128,"RB/R",0.961618638198128,0.521917477598946,-0.0854926143024299,"2","2","RB/R"
"RR/B",9,"2",1,336,1,"29/06/2022","JAP",4630,0.3593615,1314.63,1,"23/06/2022",4587,"JAP",2.7,3.2,2.9,2.9,53.5,56,57.2,58,45.9,47.6,46.1,46.4,2,28,3,31,4,1,0,0,2,0,"C",5,37,2.8834,2.8834,33.0808767427343,10.7511965041271,2.08087674273427,0.0279206617643569,0.0296707907087699,0.029430803423678,0.0288636302482677,1.26264742844998,1.32404222225133,"RR/B",1.32404222225133,1.26264742844998,1.14934998018482,"1","1","RR/B"
"BB/B",7,"2",2,325,4,"04/07/2022","MG",4554,0.2487179,1142.48,1,"01/07/2022",12,"JAP",3.8,4.3,3.3,3.2,59.8,60.1,62.7,62.4,47.2,48.8,50.2,49.5,4,8,9,17,20,0,0,0,0,0,"C",20,37,3.24,3.14,23.3694267515924,5.4140127388535,6.36942675159236,0.0361374580653329,0.0370006189945414,0.0256114318301784,0.0258889270214645,1.22768061048692,0.951793903940333,"BB/B",0.951793903940333,1.22768061048692,-0.447759319033145,"4","1","BB/B"
"BB/G",12,"2",2,186,2,"06/07/2022","JAP",634,0.3151184,556.79,2,"03/07/2022",607,"JAP",3.2,2.6,2.8,2.4,56.9,56.6,58.9,56.6,45.8,45.5,46.4,46.6,28,40,22,62,17,0,0,0,2,0,"C",17,81,2.7474,2.3474,70.0940615148675,26.4122007327256,8.09406151486751,0.0333083825790831,0.0276019114323667,0.0275022326919923,0.0231968679465177,0.641420839637711,-0.954532298360634,"BB/G",-0.954532298360635,0.641420839637711,0.510713254371213,"2","2","BB/G"
"RB/B",11,"2",2,165,1,"04/07/2022","JAP",3,0.2959927,642.03,2,"01/07/2022",593,"JAP",2.8,3.2,2.6,2.5,56.1,55.2,58.1,57.7,45.2,44.9,45.2,46.4,6,11,6,17,5,0,0,0,1,1,"C",5,23,2.5842,2.4842,19.4152644714596,6.84324933580227,2.41526447145962,0.0303209445996492,0.0353517530917787,0.0279840660837191,0.0248675280095535,0.515570044695404,-0.576732997780902,"RB/B",-0.576732997780902,0.515570044695404,0.234639145032281,"1","2","RB/B"
