"ID_fish","before_bold","trial","cage","treatment","log_boldness","dens_tot","dens_ces","dens_bs2","name","after_bold"
"B/BB",0.926153124453762,1,"5","C",0.926153124453762,0,0,0,"z_log_boldness",NA
"B/BB",0.3110527158533,2,"5","C",0.3110527158533,0,0,0,"z_log_boldness",NA
"B/BB",NA,3,"5","E",-0.179589373424393,4.77453580901857,2.12201591511936,2.6525198938992,"z_log_boldness",-0.179589373424393
"B/BB",NA,4,"5","E",1.25678924724569,4.77453580901857,2.12201591511936,2.6525198938992,"z_log_boldness",1.25678924724569
"B/BG",1.13862881377707,1,"6","C",1.13862881377707,0,0,0,"z_log_boldness",NA
"B/BG",-0.246268730470389,2,"6","C",-0.24626873047039,0,0,0,"z_log_boldness",NA
"B/BG",NA,3,"6","E",-0.274228589396566,6.3973063973064,2.02020202020202,4.37710437710438,"z_log_boldness",-0.274228589396566
"B/BG",NA,4,"6","E",-2.47163656972478,6.3973063973064,2.02020202020202,4.37710437710438,"z_log_boldness",-2.47163656972478
"B/BR",1.08865094881091,1,"5","C",1.08865094881091,0,0,0,"z_log_boldness",NA
"B/BR",0.22850728275401,2,"5","C",0.22850728275401,0,0,0,"z_log_boldness",NA
"B/BR",NA,3,"5","E",0.716504192595597,6.12912013075456,2.72405339144647,3.40506673930809,"z_log_boldness",0.716504192595597
"B/BR",NA,4,"5","E",0.26234207194987,6.12912013075456,2.72405339144647,3.40506673930809,"z_log_boldness",0.262342071949871
"B/GB",0.598618668819436,1,"7","C",0.598618668819435,0,0,0,"z_log_boldness",NA
"B/GB",-0.0696813566387062,2,"7","C",-0.0696813566387066,0,0,0,"z_log_boldness",NA
"B/GB",NA,3,"7","E",0.138582315194883,13.9630888780962,8.49927149101506,5.46381738708111,"z_log_boldness",0.138582315194883
"B/GB",NA,4,"7","E",-0.232574775064468,13.9630888780962,8.49927149101506,5.46381738708111,"z_log_boldness",-0.232574775064468
"B/GG",1.45566066771873,1,"C2","C",1.45566066771873,0,0,0,"z_log_boldness",NA
"B/GG",-0.427019853059829,2,"C2","C",-0.427019853059829,0,0,0,"z_log_boldness",NA
"B/GG",NA,3,"C2","E",0.822018647528861,1.91021967526266,0,1.91021967526266,"z_log_boldness",0.822018647528862
"B/GG",NA,4,"C2","E",-0.347727671859176,1.91021967526266,0,1.91021967526266,"z_log_boldness",-0.347727671859176
"B/GR",-1.14130227512213,1,"C1","C",-1.14130227512213,0,0,0,"z_log_boldness",NA
"B/GR",0.219867828882643,2,"C1","C",0.219867828882642,0,0,0,"z_log_boldness",NA
"B/GR",NA,3,"C1","E",-0.668248230146872,0.769230769230769,0,0.769230769230769,"z_log_boldness",-0.668248230146872
"B/GR",NA,4,"C1","E",-1.77399072802503,0.769230769230769,0,0.769230769230769,"z_log_boldness",-1.77399072802503
"B/OB",0.882194601223544,1,"9","C",0.882194601223543,0,0,0,"z_log_boldness",NA
"B/OB",-0.302987408631508,2,"9","C",-0.302987408631509,0,0,0,"z_log_boldness",NA
"B/OB",NA,3,"9","E",-0.851753089600784,1.43884892086331,0.479616306954436,0.959232613908873,"z_log_boldness",-0.851753089600783
"B/OB",NA,4,"9","E",-1.90838876557546,1.43884892086331,0.479616306954436,0.959232613908873,"z_log_boldness",-1.90838876557546
"B/OO",1.96674704914924,1,"10","C",1.96674704914924,0,0,0,"z_log_boldness",NA
"B/OO",-0.460572633232797,2,"10","C",-0.460572633232797,0,0,0,"z_log_boldness",NA
"B/OO",NA,3,"10","E",0.65647886223137,16.9445574081605,9.48895214856988,7.45560525959062,"z_log_boldness",0.656478862231371
"B/OO",NA,4,"10","E",-0.24626873047039,16.9445574081605,9.48895214856988,7.45560525959062,"z_log_boldness",-0.246268730470389
"B/RB",-1.17542385451686,1,"3","C",-1.17542385451686,0,0,0,"z_log_boldness",NA
"B/RB",0.138582315194883,2,"3","C",0.138582315194883,0,0,0,"z_log_boldness",NA
"B/RB",NA,3,"3","E",0.845590923909685,6.32111251580278,3.37126000842815,2.94985250737463,"z_log_boldness",0.845590923909686
"B/RB",NA,4,"3","E",0.684207618589592,6.32111251580278,3.37126000842815,2.94985250737463,"z_log_boldness",0.684207618589593
"B/RG",-0.93022061676422,1,"5","C",-0.930220616764221,0,0,0,"z_log_boldness",NA
"B/RG",-0.302987408631508,2,"5","C",-0.302987408631509,0,0,0,"z_log_boldness",NA
"B/RG",NA,3,"5","E",1.40617252730487,4.02058539723384,2.01029269861692,2.01029269861692,"z_log_boldness",1.40617252730487
"B/RG",NA,4,"5","E",-0.668248230146872,4.02058539723384,2.01029269861692,2.01029269861692,"z_log_boldness",-0.668248230146872
"B/RR",1.96368314968695,1,"3","C",1.96368314968695,0,0,0,"z_log_boldness",NA
"B/RR",-0.260151573968469,2,"3","C",-0.26015157396847,0,0,0,"z_log_boldness",NA
"B/RR",NA,3,"3","E",1.31689607149249,3.22812051649928,1.43472022955524,1.79340028694405,"z_log_boldness",1.31689607149249
"B/RR",NA,4,"3","E",-0.0244382254534814,3.22812051649928,1.43472022955524,1.79340028694405,"z_log_boldness",-0.024438225453481
"BB/B",-0.410653798218625,1,"2","C",-0.410653798218626,0,0,0,"z_log_boldness",NA
"BB/B",1.25678924724569,2,"2","C",1.25678924724569,0,0,0,"z_log_boldness",NA
"BB/B",NA,3,"2","E",1.51007879585855,10.5095541401274,6.36942675159236,4.14012738853503,"z_log_boldness",1.51007879585855
"BB/B",NA,4,"2","E",-1.65544325736797,10.5095541401274,6.36942675159236,4.14012738853503,"z_log_boldness",-1.65544325736797
"BB/G",1.01265333747867,1,"2","C",1.01265333747867,0,0,0,"z_log_boldness",NA
"BB/G",0.69508869965953,2,"2","C",0.695088699659529,0,0,0,"z_log_boldness",NA
"BB/G",NA,3,"2","E",-0.0930891603994867,22.5781715941041,8.09406151486751,14.4841100792366,"z_log_boldness",-0.0930891603994863
"BB/G",NA,4,"2","E",-0.410653798218626,22.5781715941041,8.09406151486751,14.4841100792366,"z_log_boldness",-0.410653798218625
"BB/O",1.52204671565698,1,"9","C",1.52204671565698,0,0,0,"z_log_boldness",NA
"BB/O",0.365053645978397,2,"9","C",0.365053645978396,0,0,0,"z_log_boldness",NA
"BB/O",NA,3,"9","E",-1.07634488632528,29.8783137766189,26.0756192959583,3.80269448066058,"z_log_boldness",-1.07634488632527
"BB/O",NA,4,"9","E",-0.0244382254534814,29.8783137766189,26.0756192959583,3.80269448066058,"z_log_boldness",-0.024438225453481
"BB/R",0.22850728275401,1,"1","C",0.22850728275401,0,0,0,"z_log_boldness",NA
"BB/R",0.886677861180266,2,"1","C",0.886677861180265,0,0,0,"z_log_boldness",NA
"BB/R",NA,3,"1","E",1.559414912716,5.67437800087298,1.3094718463553,4.36490615451768,"z_log_boldness",1.559414912716
"BB/R",NA,4,"1","E",-0.288505285451468,5.67437800087298,1.3094718463553,4.36490615451768,"z_log_boldness",-0.288505285451468
"BG/B",1.84494387527589,1,"1","C",1.84494387527589,0,0,0,"z_log_boldness",NA
"BG/B",-0.00255714204022235,2,"1","C",-0.00255714204022276,0,0,0,"z_log_boldness",NA
"BG/B",NA,3,"1","E",0.938974829006827,3.74531835205992,2.62172284644195,1.12359550561798,"z_log_boldness",0.938974829006827
"BG/B",NA,4,"1","E",-0.778963052744192,3.74531835205992,2.62172284644195,1.12359550561798,"z_log_boldness",-0.778963052744191
"BG/G",0.22850728275401,1,"4","C",0.22850728275401,0,0,0,"z_log_boldness",NA
"BG/G",0.401925541867092,2,"4","C",0.401925541867091,0,0,0,"z_log_boldness",NA
"BG/G",NA,3,"4","E",-1.50029210939706,21.3219616204691,2.13219616204691,19.1897654584222,"z_log_boldness",-1.50029210939706
"BG/G",NA,4,"4","E",-0.877235215124145,21.3219616204691,2.13219616204691,19.1897654584222,"z_log_boldness",-0.877235215124145
"BG/R",1.13862881377707,1,"3","C",1.13862881377707,0,0,0,"z_log_boldness",NA
"BG/R",0.984637885180879,2,"3","C",0.984637885180878,0,0,0,"z_log_boldness",NA
"BG/R",NA,3,"3","E",0.678722644818326,15.7068062827225,11.8990956687292,3.80771061399334,"z_log_boldness",0.678722644818326
"BG/R",NA,4,"3","E",-1.14130227512213,15.7068062827225,11.8990956687292,3.80771061399334,"z_log_boldness",-1.14130227512213
"BO/G",-0.219064636697889,1,"10","C",-0.21906463669789,0,0,0,"z_log_boldness",NA
"BO/G",-0.024438225453481,2,"10","C",-0.0244382254534814,0,0,0,"z_log_boldness",NA
"BO/G",NA,3,"10","E",-0.957797415668222,7.74050866199779,7.00331736085514,0.737191301142647,"z_log_boldness",-0.957797415668221
"BO/G",NA,4,"10","E",-0.903379287528398,7.74050866199779,7.00331736085514,0.737191301142647,"z_log_boldness",-0.903379287528398
"BR/B",-1.24734660118957,1,"1","C",-1.24734660118957,0,0,0,"z_log_boldness",NA
"BR/B",0.850239847630441,2,"1","C",0.850239847630441,0,0,0,"z_log_boldness",NA
"BR/B",NA,3,"1","E",-0.711084064809912,9.79519145146928,5.34283170080142,4.45235975066785,"z_log_boldness",-0.711084064809911
"BR/B",NA,4,"1","E",-1.83894811682188,9.79519145146928,5.34283170080142,4.45235975066785,"z_log_boldness",-1.83894811682188
"BR/G",0.451377111229363,1,"C1","C",0.451377111229362,0,0,0,"z_log_boldness",NA
"BR/G",1.4220648079474,2,"C1","C",1.4220648079474,0,0,0,"z_log_boldness",NA
"BR/G",NA,3,"C1","E",-0.957797415668222,4.13793103448276,0,4.13793103448276,"z_log_boldness",-0.957797415668221
"BR/G",NA,4,"C1","E",0.00820756160042092,4.13793103448276,0,4.13793103448276,"z_log_boldness",0.00820756160042133
"BR/R",1.35130934490349,1,"1","C",1.35130934490349,0,0,0,"z_log_boldness",NA
"BR/R",0.639467355361925,2,"1","C",0.639467355361925,0,0,0,"z_log_boldness",NA
"BR/R",NA,3,"1","E",-0.957797415668222,5.54156171284635,2.51889168765743,3.02267002518892,"z_log_boldness",-0.957797415668221
"BR/R",NA,4,"1","E",0.537228289767089,5.54156171284635,2.51889168765743,3.02267002518892,"z_log_boldness",0.537228289767089
"G/BB",0.0603689843192273,1,"C2","C",0.0603689843192269,0,0,0,"z_log_boldness",NA
"G/BB",-1.77399072802503,2,"C2","C",-1.77399072802503,0,0,0,"z_log_boldness",NA
"G/BB",NA,3,"C2","E",-0.930220616764221,1.05263157894737,0,1.05263157894737,"z_log_boldness",-0.93022061676422
"G/BB",NA,4,"C2","E",-1.50029210939706,1.05263157894737,0,1.05263157894737,"z_log_boldness",-1.50029210939706
"G/BG",0.627964485061046,1,"5","C",0.627964485061045,0,0,0,"z_log_boldness",NA
"G/BG",-1.04537351355893,2,"5","C",-1.04537351355893,0,0,0,"z_log_boldness",NA
"G/BG",NA,3,"5","E",1.25678924724569,3.50109409190372,1.75054704595186,1.75054704595186,"z_log_boldness",1.25678924724569
"G/BG",NA,4,"5","E",-0.26015157396847,3.50109409190372,1.75054704595186,1.75054704595186,"z_log_boldness",-0.260151573968469
"G/BR",0.662086064455774,1,"5","C",0.662086064455774,0,0,0,"z_log_boldness",NA
"G/BR",0.752918662239735,2,"5","C",0.752918662239734,0,0,0,"z_log_boldness",NA
"G/BR",NA,3,"5","E",-0.607230142645328,6.86378035902851,0,6.86378035902851,"z_log_boldness",-0.607230142645327
"G/BR",NA,4,"5","E",0.768130390523211,6.86378035902851,0,6.86378035902851,"z_log_boldness",0.768130390523212
"G/GB",1.20922968190537,1,"7","C",1.20922968190537,0,0,0,"z_log_boldness",NA
"G/GB",-0.205733445828646,2,"7","C",-0.205733445828646,0,0,0,"z_log_boldness",NA
"G/GB",NA,3,"7","E",-0.0813172110444402,3.86428626632661,1.9321431331633,1.9321431331633,"z_log_boldness",-0.0813172110444398
"G/GB",NA,4,"7","E",-1.07634488632528,3.86428626632661,1.9321431331633,1.9321431331633,"z_log_boldness",-1.07634488632527
"G/GG",0.689662863359775,1,"6","C",0.689662863359774,0,0,0,"z_log_boldness",NA
"G/GG",0.211153573614332,2,"6","C",0.211153573614332,0,0,0,"z_log_boldness",NA
"G/GG",NA,3,"6","E",1.05516020002042,5.19649236765183,1.6239038648912,3.57258850276064,"z_log_boldness",1.05516020002042
"G/GG",NA,4,"6","E",-0.141604103311416,5.19649236765183,1.6239038648912,3.57258850276064,"z_log_boldness",-0.141604103311415
"G/OG",0.913165973989891,1,"9","C",0.913165973989891,0,0,0,"z_log_boldness",NA
"G/OG",-2.35308909906772,2,"9","C",-2.35308909906772,0,0,0,"z_log_boldness",NA
"G/OG",NA,3,"9","E",-0.957797415668222,4.8348106365834,0.8058017727639,4.0290088638195,"z_log_boldness",-0.957797415668221
"G/OG",NA,4,"9","E",-1.14130227512213,4.8348106365834,0.8058017727639,4.0290088638195,"z_log_boldness",-1.14130227512213
"G/OO",1.31980921447008,1,"10","C",1.31980921447008,0,0,0,"z_log_boldness",NA
"G/OO",-0.851753089600783,2,"10","C",-0.851753089600784,0,0,0,"z_log_boldness",NA
