ID_fish;num_fish;cage;trial;boldness;bassin_bold;date_bold;exp_bold;video_bold;exploration;activity;bassin_exp;date_act;video_act;exp_act;mass_1;mass_2;mass_3;mass_4;TL_1;TL_2;TL_3;TL_4;SL_1;SL_2;SL_3;SL_4;BS_pre;BS_post_corps;BS_muscle;BS_post_tot;P04_alive;P04_dead;P013_alive;P013_dead;P06;gonade;treatment
B/RB;16;3;1;29;3;29/06/2022;MG;972;0.2025206;1136.0;1;23/06/2022;4589;JAP;2.4;2.0;2.6;2.4;51.1;52.3;54.3;52.4;44.0;43.4;43.6;45.0;22;0;0;0;0;0;0;0;0;1;C
B/RR;18;3;1;656;1;30/06/2022;JAP;4649;0.2968468;1309.73;1;24/06/2022;4595;JAP;2.8;2.8;2.9;2.8;57.8;57.3;58.4;58.2;46.4;47.4;46.6;48.3;2;0;0;0;0;0;0;0;0;1;C
BG/R;17;3;1;289;2;28/06/2022;JAP;579;0.09981168;638.95;4;22/06/2022;4498;MG;2.3;3.3;2.3;2.2;53.0;54.4;54.3;55.0;43.2;44.4;43.7;44.9;0;0;0;0;0;0;0;0;0;1;C
G/RR;14;3;1;375;4;30/06/2022;MG;529;0.04693487;712.35;1;24/06/2022;4594;JAP;2.3;2.3;2.7;2.8;55.9;55.7;56.6;59.4;45.0;44.5;44.2;46.4;2;0;0;0;0;0;0;0;0;0;C
GB/B;15;3;1;178;3;29/06/2022;MG;971;0.2941712;1568.2;4;23/06/2022;4505;MG;2.4;1.8;2.1;1.9;52.8;53.7;54.7;54.2;42.5;44.1;43.2;45.0;5;0;0;0;0;0;0;0;0;0;C
GR/G;13;3;1;89;2;28/06/2022;JAP;578;0.2955134;1579.21;3;22/06/2022;4582;MG;2.2;2.6;2.0;1.9;51.1;53.3;52.1;54.4;43.1;43.7;41.8;41.9;0;0;0;0;0;0;0;0;0;1;C
B/RB;16;3;2;107;3;05/07/2022;MG;1011;0.2280872;547.65;4;02/07/2022;4538;MG;2.4;2.0;2.6;2.4;51.1;52.3;54.3;52.4;44.0;43.4;43.6;45.0;22;0;0;0;0;0;0;0;0;1;C
B/RR;18;3;2;72;2;06/07/2022;JAP;633;0.247366;618.5;1;03/07/2022;5;JAP;2.8;2.8;2.9;2.8;57.8;57.3;58.4;58.2;46.4;47.4;46.6;48.3;2;0;0;0;0;0;0;0;0;1;C
BG/R;17;3;2;248;4;04/07/2022;MG;4556;0.2652778;462.67;4;01/07/2022;4537;MG;2.3;3.3;2.3;2.2;53.0;54.4;54.3;55.0;43.2;44.4;43.7;44.9;0;0;0;0;0;0;0;0;0;1;C
G/RR;14;3;2;258;1;06/07/2022;JAP;4674;0.1192118;661.2;4;03/07/2022;4550;MG;2.3;2.3;2.7;2.8;55.9;55.7;56.6;59.4;45.0;44.5;44.2;46.4;2;0;0;0;0;0;0;0;0;0;C
GB/B;15;3;2;281;1;05/07/2022;JAP;4657;0.2853107;1032.84;4;02/07/2022;4539;MG;2.4;1.8;2.1;1.9;52.8;53.7;54.7;54.2;42.5;44.1;43.2;45.0;5;0;0;0;0;0;0;0;0;0;C
GR/G;13;3;2;35;3;04/07/2022;MG;1007;0.37572;1097.23;3;01/07/2022;988;MG;2.2;2.6;2.0;1.9;51.1;53.3;52.1;54.4;43.1;43.7;41.8;41.9;0;0;0;0;0;0;0;0;0;1;C
BG/G;20;4;1;117;1;01/07/2022;JAP;11;0.2277359;955.86;4;22/06/2022;4497;MG;2.1;2.5;2.0;1.9;52.4;53.6;52.6;53.4;43.1;43.4;42.6;41.1;23;0;0;0;0;0;0;0;0;0;C
GB/G;22;4;1;183;3;28/06/2022;MG;966;0.1231481;415.31;4;22/06/2022;4499;MG;1.7;2.1;1.8;1.6;46.5;45.8;50.0;50.7;43.3;40.1;41.9;43.3;6;0;0;0;0;0;0;0;0;1;C
GG/G;24;4;1;225;1;29/06/2022;JAP;4632;0.3528904;1370.08;3;23/06/2022;953;MG;2.1;2.5;2.6;2.6;54.2;54.4;55.5;57.7;43.0;44.1;44.6;45.9;0;0;0;0;0;0;0;0;0;0;C
GG/R;21;4;1;310;3;30/06/2022;MG;977;0.2228353;871.19;2;24/06/2022;1;JAP;2.1;2.1;2.2;2.2;50.0;49.9;51.9;54.3;41.9;43.1;42.4;43.4;5;0;0;0;0;0;0;0;0;0;C
GR/R;19;4;1;427;3;30/06/2022;MG;979;0.2008197;1008.28;4;24/06/2022;4509;MG;1.5;1.9;1.8;1.7;47.2;48.6;50.0;50.6;38.5;42.0;39.1;39.9;1;0;0;0;0;0;0;0;0;0;C
