ID_fish;num_fish;cage;trial;boldness;bassin_bold;date_bold;exp_bold;video_bold;exploration;activity;bassin_exp;date_act;video_act;exp_act;mass_1;mass_2;mass_3;mass_4;TL_1;TL_2;TL_3;TL_4;SL_1;SL_2;SL_3;SL_4;BS_pre;BS_post_corps;BS_muscle;BS_post_tot;P04_alive;P04_dead;P013_alive;P013_dead;P06;gonade;treatment
B/RB;16;3;3;216;2;16/08/2022;JAP;722;0.2707133;382.5;1;13/08/2022;4;SGG;2.4;2.0;2.6;2.4;51.1;52.3;54.3;52.4;44.0;43.4;43.6;45.0;22;14;15;29;8;1;0;0;0;1;E
B/RR;18;3;3;345;3;17/08/2022;MG;1114;0.3278689;932.56;3;14/08/2022;1095;MG;2.8;2.8;2.9;2.8;57.8;57.3;58.4;58.2;46.4;47.4;46.6;48.3;2;6;1;7;4;0;1;0;0;1;E
BG/R;17;3;3;183;2;15/08/2022;SGG;714;0.2618747;740.72;1;12/08/2022;1;JAP;2.3;3.3;2.3;2.2;53.0;54.4;54.3;55.0;43.2;44.4;43.7;44.9;0;6;2;8;25;8;0;0;0;1;E
G/RR;14;3;3;157;4;17/08/2022;MG;4628;0.2441294;1341.68;3;14/08/2022;1097;MG;2.3;2.3;2.7;2.8;55.9;55.7;56.6;59.4;45.0;44.5;44.2;46.4;2;2;4;6;21;2;0;0;0;0;E
GB/B;15;3;3;155;1;16/08/2022;JAP;4757;0.3287317;1309.03;2;13/08/2022;700;SGG;2.4;1.8;2.1;1.9;52.8;53.7;54.7;54.2;42.5;44.1;43.2;45.0;5;13;3;16;2;1;0;0;0;0;E
GR/G;13;3;3;181;4;15/08/2022;MG;4617;0.2689625;1046.35;4;12/08/2022;4600;MG;2.2;2.6;2.0;1.9;51.1;53.3;52.1;54.4;43.1;43.7;41.8;41.9;0;4;2;6;8;1;0;0;0;1;E
B/RB;16;3;4;184;1;24/08/2022;MG;4774;0.331299;731.89;4;19/08/2022;4640;MG;2.4;2.0;2.6;2.4;51.1;52.3;54.3;52.4;44.0;43.4;43.6;45.0;22;14;15;29;8;1;0;0;0;1;E
B/RR;18;3;4;91;1;25/08/2022;MG;3;0.2643369 ;434.75;1;22/08/2022;5;MG;2.8;2.8;2.9;2.8;57.8;57.3;58.4;58.2;46.4;47.4;46.6;48.3;2;6;1;7;4;0;1;0;0;1;E
BG/R;17;3;4;30;2;23/08/2022;MG;1;0.2472678;538.73;3;18/08/2022;1119;MG;2.3;3.3;2.3;2.2;53.0;54.4;54.3;55.0;43.2;44.4;43.7;44.9;0;6;2;8;25;8;0;0;0;1;E
G/RR;14;3;4;109;1;25/08/2022;MG;1;0.2871194;1196.06;3;22/08/2022;783;VM;2.3;2.3;2.7;2.8;55.9;55.7;56.6;59.4;45.0;44.5;44.2;46.4;2;2;4;6;21;2;0;0;0;0;E
GB/B;15;3;4;28;4;24/08/2022;VM;4658;0.3180328;987.64;3;19/08/2022;775;MG;2.4;1.8;2.1;1.9;52.8;53.7;54.7;54.2;42.5;44.1;43.2;45.0;5;13;3;16;2;1;0;0;0;0;E
GR/G;13;3;4;29;3;23/08/2022;VM;806;0.2581081;643.79;4;18/08/2022;4635;MG;2.2;2.6;2.0;1.9;51.1;53.3;52.1;54.4;43.1;43.7;41.8;41.9;0;4;2;6;8;1;0;0;0;1;E
BG/G;20;4;3;21;3;15/08/2022;MG;1101;0.2424504;808.42;1;12/08/2022;3;JAP;2.1;2.5;2.0;1.9;52.4;53.6;52.6;53.4;43.1;43.4;42.6;41.1;23;49;10;59;4;4;0;0;0;0;E
GB/G;22;4;3;376;2;15/08/2022;SGG;713;0.2433132;704.83;2;12/08/2022;693;JAP;1.7;2.1;1.8;1.6;46.5;45.8;50.0;50.7;43.3;40.1;41.9;43.3;6;9;4;13;6;4;0;0;0;1;E
GG/G;24;4;3;361;3;16/08/2022;MG;1108;0.2088285;1324.27;4;13/08/2022;4605;MG;2.1;2.5;2.6;2.6;54.2;54.4;55.5;57.7;43.0;44.1;44.6;45.9;0;2;3;5;23;6;0;0;0;0;E
GG/R;21;4;3;110;1;17/08/2022;JAP;763;0.209752;1619.89;1;14/08/2022;1;SGG;2.1;2.1;2.2;2.2;50.0;49.9;51.9;54.3;41.9;43.1;42.4;43.4;5;8;1;9;14;3;0;0;0;0;E
GR/R;19;4;3;169;1;17/08/2022;JAP;765;0.2348361;935.71;1;14/08/2022;2;SGG;1.5;1.9;1.8;1.7;47.2;48.6;50.0;50.6;38.5;42.0;39.1;39.9;1;4;1;5;15;0;0;0;0;0;E
R/RR;23;4;3;56;2;16/08/2022;JAP;720;0.2862206;1005.46;3;13/08/2022;1089;MG;1.6;1.7;1.7;1.6;47.8;47.5;48.6;48.6;40.8;38.2;39.1;39.4;2;6;8;14;36;11;0;0;0;0;E
BG/G;20;4;4;39;3;23/08/2022;VM;808;0.2867232 ;371.59;1;18/08/2022;4;MG;2.1;2.5;2.0;1.9;52.4;53.6;52.6;53.4;43.1;43.4;42.6;41.1;23;49;10;59;4;4;0;0;0;0;E
GB/G;22;4;4;243;4;23/08/2022;VM;4652;0.1944202 ;551.72;4;18/08/2022;4634;MG;1.7;2.1;1.8;1.6;46.5;45.8;50.0;50.7;43.3;40.1;41.9;43.3;6;9;4;13;6;4;0;0;0;1;E
GG/G;24;4;4;658;1;24/08/2022;MG;4773;0.2303943;656.1;1;19/08/2022;3;MG;2.1;2.5;2.6;2.6;54.2;54.4;55.5;57.7;43.0;44.1;44.6;45.9;0;2;3;5;23;6;0;0;0;0;E
GG/R;21;4;4;89;3;25/08/2022;VM;4673;0.2412178;1282.95;3;22/08/2022;782;VM;2.1;2.1;2.2;2.2;50.0;49.9;51.9;54.3;41.9;43.1;42.4;43.4;5;8;1;9;14;3;0;0;0;0;E
