ID_fish;num_fish;cage;trial;boldness;bassin_bold;date_bold;exp_bold;video_bold;exploration;activity;bassin_exp;date_act;video_act;exp_act;mass_1;mass_2;mass_3;mass_4;TL_1;TL_2;TL_3;TL_4;SL_1;SL_2;SL_3;SL_4;BS_pre;BS_post_corps;BS_muscle;BS_post_tot;P04_alive;P04_dead;P013_alive;P013_dead;P06;gonade;treatment
BB/R;3;1;1;117;4;28/06/2022;MG;516;0.4427516;1249.99;2;22/06/2022;565;JAP;1.9;1.9;2.4;2.3;51.1;50.9;53.3;52.5;41.9;40.9;43.6;44.6;4;8;6;14;3;0;2;0;0;0;C
BG/B;5;1;1;583;4;29/06/2022;MG;521;0.2995614;1155.1;4;23/06/2022;4504;MG;2.7;2.5;3.1;2.7;56.1;57.5;58.0;56.8;43.2;45.6;46.7;47.0;0;1;2;3;7;3;0;0;0;1;C
BR/B;4;1;1;27;2;29/06/2022;JAP;583;0.2404372;1529.6;1;23/06/2022;4588;JAP;2.6;2.8;2.5;2.3;52.1;54.8;54.6;54.9;41.6;44.8;44.9;44.2;0;8;2;10;12;6;0;0;0;1;C
BR/R;1;1;1;357;4;30/06/2022;MG;528;0.2688172;2084.84;2;24/06/2022;2;JAP;2.1;2.4;2.3;2.0;52.5;52.3;53.3;54.7;42.0;44.4;44.1;43.6;2;6;2;8;5;0;0;0;0;0;C
RG/G;6;1;1;542;1;28/06/2022;JAP;4619;0.2218152;619.24;1;22/06/2022;947;JAP;1.9;1.9;2.1;2.1;49.4;47.9;52.1;50.7;41.2;38.6;42.4;42.0;4;15;3;18;11;3;0;0;2;0;C
RR/R;2;1;1;28;2;30/06/2022;JAP;11;0.3512414;1891.12;2;24/06/2022;3;JAP;2.4;2.0;2.1;2.1;52.9;52.4;54.4;51.4;41.7;43.2;42.2;41.1;0;0;0;0;7;0;0;0;2;1;C
BB/R;3;1;2;225;3;04/07/2022;MG;1006;0.2305764;496.23;1;01/07/2022;13;JAP;1.9;1.9;2.4;2.3;51.1;50.9;53.3;52.5;41.9;40.9;43.6;44.6;4;8;6;14;3;0;2;0;0;0;C
BG/B;5;1;2;93;4;05/07/2022;MG;4562;0.1885246;780.75;2;02/07/2022;598;JAP;2.7;2.5;3.1;2.7;56.1;57.5;58.0;56.8;43.2;45.6;46.7;47.0;0;1;2;3;7;3;0;0;0;1;C
BR/B;4;1;2;217;1;05/07/2022;JAP;4656;0.2879929;1142.89;2;02/07/2022;596;JAP;2.6;2.8;2.5;2.3;52.1;54.8;54.6;54.9;41.6;44.8;44.9;44.2;0;8;2;10;12;6;0;0;0;1;C
BR/R;1;1;2;176;1;06/07/2022;JAP;4675;0.273183;1069.25;2;03/07/2022;609;JAP;2.1;2.4;2.3;2.0;52.5;52.3;53.3;54.7;42.0;44.4;44.1;43.6;2;6;2;8;5;0;0;0;0;0;C
