ID_fish;num_fish;cage;trial;boldness;bassin_bold;date_bold;exp_bold;video_bold;exploration;activity;bassin_exp;date_act;video_act;exp_act;mass_1;mass_2;mass_3;mass_4;TL_1;TL_2;TL_3;TL_4;SL_1;SL_2;SL_3;SL_4;BS_pre;BS_post_corps;BS_muscle;BS_post_tot;P04_alive;P04_dead;P013_alive;P013_dead;P06;gonade;treatment
BR/G;62;C1;2;383;3;06/07/2022;MG;1022;0.2771429;637.2;2;02/07/2022;602;JAP;3.1;3.1;3.0;2.9;56.2;56.5;58.8;57.0;45.1;48.4;47.7;47.3;2;13;1;14;0;0;0;0;0;0;B
GB/R;64;C1;2;47;2;05/07/2022;JAP;623;0.2274065;905.44;1;03/07/2022;3;JAP;3.1;2.9;2.9;2.9;58.2;59.5;57.0;57.0;48.9;50.4;45.5;46.6;8;10;1;11;0;0;0;0;0;0;B
O/BO;63;C1;2;29;1;04/07/2022;JAP;4;0.2337116;501.88;1;03/07/2022;4;JAP;2.8;2.9;2.9;2.9;57.3;59.5;57.1;57.1;46.5;47.9;46.2;46.7;4;12;2;14;0;0;0;0;0;0;B
RG/B;66;C1;2;180;4;06/07/2022;MG;4569;0.369074;684.67;3;03/07/2022;998;MG;2.5;1.8;2.1;2.2;51.7;53.0;51.6;52.4;44.0;44.3;44.1;43.1;0;0;0;0;0;2;0;0;0;1;B
RG/R;65;C1;2;87;4;05/07/2022;MG;4564;0.241869;590.77;4;03/07/2022;4547;MG;2.2;1.8;1.9;1.9;52.2;51.7;50.9;50.9;42.5;43.1;41.4;39.9;4;8;3;11;0;0;0;0;0;1;B
B/GG;71;C2;2;61;4;05/07/2022;MG;4563;0.03069171;462.82;4;03/07/2022;4553;MG;2.0;1.9;2.0;2.1;50.5;51.5;50.1;52.3;41.4;40.5;41.7;41.3;0;2;2;4;0;2;0;1;0;0;B
G/BB;68;C2;2;16;4;06/07/2022;MG;4570;0.3513514;1056.75;3;02/07/2022;996;MG;2.3;1.8;1.9;1.9;51.3;52.0;51.8;52.1;43.2;42.1;42.6;43.2;4;4;2;6;0;0;0;0;0;1;B
G/RG;67;C2;2;75;3;06/07/2022;MG;1021;0.258548;394.97;2;02/07/2022;601;JAP;2.0;1.8;1.5;1.6;47.4;47.5;49.3;50.2;44.4;41.6;41.8;41.8;19;19;8;27;0;3;0;0;0;0;B
GG/B;72;C2;2;68;3;05/07/2022;MG;1015;0.3346995;526.27;2;03/07/2022;608;JAP;1.8;1.8;1.8;1.8;48.3;51.4;50.0;50.6;41.1;43.0;40.9;41.1;0;1;0;1;0;2;0;0;0;0;B
GR/B;69;C2;2;100;4;04/07/2022;MG;4558;0.3688933;568.02;4;03/07/2022;4552;MG;1.9;1.5;1.8;1.9;50.1;52.6;49.0;49.6;41.7;43.1;41.5;40.5;1;2;1;3;0;1;0;0;0;0;B
R/BB;70;C2;2;125;4;04/07/2022;MG;4557;0.3947368;613.31;1;03/07/2022;6;JAP;2.2;2.0;2.1;2.1;54.9;53.3;52.1;51.8;45.1;42.8;41.3;42.7;0;4;1;5;0;3;0;0;0;1;B
