"ID_fish","trial","cage","treatment","exploration","log_boldness","log_activity","z_log_boldness","z_log_activity","z_exploration","dens_tot","dens_ces","BS_pre","BS_post_tot","dens_bs2","name","body_condition","z_bc","z_ces","z_bs2","z_dens"
"B/BB",1,"5","C",0.2346851,0.926153124453762,1.11463055543744,0.926153124453762,1.11463055543744,-0.714029788371908,0,0,4,0,0,"fulton1",0.033457980481986,1.82687154053594,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/BB",2,"5","C",0.2234685,0.3110527158533,0.610963513967586,0.3110527158533,0.610963513967587,-0.873444242243241,0,0,4,0,0,"fulton2",0.0269713972732514,0.0417849829338026,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/BG",1,"6","C",0.2822581,1.13862881377707,1.0127607844526,1.13862881377707,1.0127607844526,-0.0379047759776959,0,0,4,0,0,"fulton1",0.0247256292025962,-0.57624307057524,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/BG",2,"6","C",0.3481982,-0.24626873047039,-0.17571455629361,-0.246268730470389,-0.17571455629361,0.899260232110413,0,0,4,0,0,"fulton2",0.0228096850023897,-1.10350466991755,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/BR",1,"5","C",0.1935484,1.08865094881091,-0.475643210795449,1.08865094881091,-0.475643210795449,-1.29867973261249,0,0,4,0,0,"fulton1",0.0254825247725392,-0.367947876644099,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/BR",2,"5","C",0.2364865,0.22850728275401,-0.053862432195227,0.22850728275401,-0.0538624321952266,-0.688427627538517,0,0,4,0,0,"fulton2",0.0283369965985686,0.417593466421959,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/GB",1,"7","C",0.1148649,0.598618668819435,-1.38440518049923,0.598618668819436,-1.38440518049923,-2.41695863898207,0,0,0,0,0,"fulton1",0.0227982036383425,-1.10666430388263,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/GB",2,"7","C",0.3148148,-0.0696813566387066,-1.65373648601628,-0.0696813566387062,-1.65373648601628,0.424803045496978,0,0,0,0,0,"fulton2",0.02756779501168,0.20591169673586,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/GG",1,"C2","C",0.1302409,1.45566066771873,-0.147394931441281,1.45566066771873,-0.147394931441281,-2.19842925906965,0,0,0,0,0,"fulton1",0.0281857095521257,0.375959764324235,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/GG",2,"C2","C",0.03069171,-0.427019853059829,-1.46489290976104,-0.427019853059829,-1.46489290976104,-3.61325904324521,0,0,0,0,0,"fulton2",0.0286014816320156,0.490378885601881,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/GR",1,"C1","C",0.2269338,-1.14130227512213,0.777539914155724,-1.14130227512213,0.777539914155724,-0.824194121261809,0,0,2,0,0,"fulton1",0.0294805578954031,0.73229780815067,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/GR",2,"C1","C",0.349136,0.219867828882642,0.798884071060081,0.219867828882643,0.798884071060081,0.912588591402938,0,0,2,0,0,"fulton2",0.0226708840556579,-1.14170223807019,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/OB",1,"9","C",0.2986265,0.882194601223543,0.867150433529475,0.882194601223544,0.867150433529475,0.194728958553938,0,0,2,0,0,"fulton1",0.0232425841721623,-0.984372229325777,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/OB",2,"9","C",0.2905282,-0.302987408631509,-0.221917291309053,-0.302987408631508,-0.221917291309053,0.0796329337526422,0,0,2,0,0,"fulton2",0.0281431695569277,0.364252896294522,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/OO",1,"10","C",0.3593265,1.96674704914924,1.50049199590955,1.96674704914924,1.50049199590955,1.05741973383253,0,0,2,0,0,"fulton1",0.0239403999787159,-0.792335593723266,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/OO",2,"10","C",0.3218292,-0.460572633232797,-0.305977143292203,-0.460572633232797,-0.305977143292202,0.524494283950259,0,0,2,0,0,"fulton2",0.0282888416036827,0.404341368778862,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/RB",1,"3","C",0.2025206,-1.17542385451686,0.967131786495247,-1.17542385451686,0.967131786495247,-1.17116351887353,0,0,22,0,0,"fulton1",0.0281743050338092,0.37282127805379,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/RB",2,"3","C",0.2280872,0.138582315194883,-1.00906097418944,0.138582315194883,-1.00906097418944,-0.807801575294654,0,0,22,0,0,"fulton2",0.0244658780759603,-0.647725734029766,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/RG",1,"5","C",0.2225225,-0.930220616764221,-0.355875318884812,-0.93022061676422,-0.355875318884812,-0.886889142958456,0,0,0,0,0,"fulton1",0.0305962388913108,1.03932958193339,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/RG",2,"5","C",0.3229951,-0.302987408631509,-0.11321494146197,-0.302987408631508,-0.113214941461969,0.541064484525173,0,0,0,0,0,"fulton2",0.0293815704099603,0.705056774782465,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/RR",1,"3","C",0.2968468,1.96368314968695,1.35256902930088,1.96368314968695,1.35256902930088,0.169435206119617,0,0,2,0,0,"fulton1",0.0280287732174341,0.332771396512951,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/RR",2,"3","C",0.247366,-0.26015157396847,-0.67954538861811,-0.260151573968469,-0.679545388618109,-0.533804163129234,0,0,2,0,0,"fulton2",0.026291962629656,-0.145193216531544,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BB/B",1,"2","C",0.3416667,-0.410653798218626,1.67103716956356,-0.410653798218625,1.67103716956356,0.806432146464084,0,0,4,0,0,"fulton1",0.0361374580653329,2.56425503836698,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BB/B",2,"2","C",0.2487179,1.25678924724569,0.982537657680707,1.25678924724569,0.982537657680708,-0.514590461990862,0,0,4,0,0,"fulton2",0.0370006189945414,2.80179411282187,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BB/G",1,"2","C",0.3524904,1.01265333747867,0.643534459468121,1.01265333747867,0.643534459468121,0.96026256070433,0,0,28,0,0,"fulton1",0.0333083825790831,1.78570268523507,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BB/G",2,"2","C",0.3151184,0.695088699659529,-0.964230917351226,0.69508869965953,-0.964230917351226,0.429117920610233,0,0,28,0,0,"fulton2",0.0276019114323667,0.215300424514658,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BB/O",1,"9","C",0.1781125,1.52204671565698,0.541220538927155,1.52204671565698,0.541220538927156,-1.51806043340528,0,0,0,0,0,"fulton1",0.0259266878824754,-0.245715636431375,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BB/O",2,"9","C",0.2304189,0.365053645978396,0.267701935697483,0.365053645978397,0.267701935697484,-0.774662595381687,0,0,0,0,0,"fulton2",0.0235580583636761,-0.897554760032641,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BB/R",1,"1","C",0.4427516,0.22850728275401,1.2261224943878,0.22850728275401,1.2261224943878,2.24308800725419,0,0,4,0,0,"fulton1",0.0258292343131481,-0.272534541084021,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BB/R",2,"1","C",0.2305764,0.886677861180265,-1.27610842055461,0.886677861180266,-1.27610842055461,-0.772424147323921,0,0,4,0,0,"fulton2",0.0277704985779385,0.261695057507185,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BG/B",1,"1","C",0.2995614,1.84494387527589,1.01229186513198,1.84494387527589,1.01229186513198,0.208016101977462,0,0,0,0,0,"fulton1",0.0334897976680384,1.83562752643718,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BG/B",2,"1","C",0.1885246,-0.00255714204022276,-0.0485843031853934,-0.00255714204022235,-0.048584303185393,-1.37007983008933,0,0,0,0,0,"fulton2",0.0263660748516413,-0.124797774591967,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BG/G",1,"4","C",0.2277359,0.22850728275401,0.499493721865624,0.22850728275401,0.499493721865624,-0.812794380391118,0,0,23,0,0,"fulton1",0.0262293473397715,-0.162424740228438,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BG/G",2,"4","C",0.3111111,0.401925541867091,-0.134186669331763,0.401925541867092,-0.134186669331763,0.372164695836362,0,0,23,0,0,"fulton2",0.0305823475949504,1.03550674245031,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BG/R",1,"3","C",0.09981168,1.13862881377707,-0.59144127500523,1.13862881377707,-0.59144127500523,-2.63090055055108,0,0,0,0,0,"fulton1",0.0285283461616623,0.470252242527945,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BG/R",2,"3","C",0.2652778,0.984637885180878,-1.46577086998089,0.984637885180879,-1.46577086998089,-0.279235058868358,0,0,0,0,0,"fulton2",0.0377020555983302,2.9948271800224,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BO/G",1,"10","C",0.3324926,-0.21906463669789,1.41218922356253,-0.219064636697889,1.41218922356253,0.676046455500602,0,0,4,0,0,"fulton1",0.0237166580351207,-0.853908647368174,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BO/G",2,"10","C",0.3177966,-0.0244382254534814,1.30298299511363,-0.024438225453481,1.30298299511363,0.467181486250284,0,0,4,0,0,"fulton2",0.0232021458694443,-0.995500718434949,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BR/B",1,"1","C",0.2404372,-1.24734660118957,1.77288487458478,-1.24734660118957,1.77288487458478,-0.63227882282858,0,0,0,0,0,"fulton1",0.0361154770710059,2.5582059403699,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BR/B",2,"1","C",0.2879929,0.850239847630441,0.983509470549057,0.850239847630441,0.983509470549057,0.0436003155884933,0,0,0,0,0,"fulton2",0.0311403858418367,1.18907704920337,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BR/G",1,"C1","C",0.2058559,0.451377111229362,-0.0370914025112441,0.451377111229363,-0.0370914025112438,-1.12376100581279,0,0,2,0,0,"fulton1",0.0337934139492301,1.91918173745765,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BR/G",2,"C1","C",0.2771429,1.4220648079474,-0.598869617209699,1.4220648079474,-0.598869617209699,-0.110603883946478,0,0,2,0,0,"fulton2",0.0273417059869798,0.143692734020598,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BR/R",1,"1","C",0.2688172,1.35130934490349,2.61166218389914,1.35130934490349,2.61166218389914,-0.22893180137213,0,0,2,0,0,"fulton1",0.0283446712018141,0.419705492221615,-0.4765656241195,-0.607780438155728,-0.622128135524506
"BR/R",2,"1","C",0.273183,0.639467355361925,0.803117593766895,0.639467355361925,0.803117593766896,-0.166883442447726,0,0,2,0,0,"fulton2",0.0274196767987856,0.165150047302641,-0.4765656241195,-0.607780438155728,-0.622128135524506
