"bold_E","se_b_E","exp_E","se_exp_E","act_E","se_act_E","bold_I","se_b_I","exp_I","se_exp_I","act_I","se_act_I","ID_fish"
-0.408312399242826,0.337351624758412,0.353137919391276,0.285999512845314,-0.0782458716870117,0.468777180688001,0.384434734921226,0.268278414621567,-0.458398011238113,0.328696833482304,0.276067484608645,0.379198386663352,"B/BB"
-0.928628794818481,0.459478299000312,0.613850457218497,0.370577375756868,0.118838469248724,0.544576107426327,0.0711049485235507,0.311927424628488,0.360368674910544,0.374058235368552,0.628670859523459,0.406863418110608,"B/BG"
-0.408166028113264,0.333670044278201,0.555598986741809,0.301797668910069,-0.0926696286632075,0.472923681662356,0.436670184627672,0.26681602079759,-0.424335148218103,0.330313595805178,-0.153729659880046,0.379601016987913,"B/BR"
-0.428689221061415,0.334479930615044,0.503272140838788,0.302738170642103,0.0861988983846056,0.503868535276954,0.507446935181118,0.277274369518898,-0.74736450584148,0.346260428813409,-0.568354321576625,0.415948334309956,"B/GB"
-0.403853690000355,0.456129406642276,0.623339812315754,0.406825951065765,0.273872798190271,0.68359687906924,0.578071475998975,0.315678797286399,-1.15822803725777,0.451719677197946,-0.552681123521348,0.44755192818397,"B/GG"
-0.428408710694244,0.409360257547795,0.360698122285273,0.325841882091279,-0.535196642017177,0.59860371017458,0.0527499704281102,0.292383462317938,-0.0230782558058036,0.367079965993677,0.515594347669536,0.403907472084281,"B/GR"
-0.779078904077082,0.391299721652352,0.307611592697114,0.315745826896709,0.154616461918994,0.501876856087578,0.252962997531604,0.279592800711059,-0.306865187670816,0.340124925531587,0.355699012360991,0.388144313963206,"B/OB"
-0.431700671617016,0.325912704911978,0.217771348283984,0.324777560456654,-0.349222723116602,0.476821560722747,0.37707355207413,0.270462739618154,-0.188777024756409,0.340869701562797,0.26122543097656,0.380822256730594,"B/OO"
-0.105253171077494,0.406877147468217,0.460133326369785,0.297201816283249,-0.712082872625068,0.499693786276719,0.212757352490964,0.287986431654406,-0.382049406303369,0.335404274581866,-0.0406977053227425,0.38497180681168,"B/RB"
-0.374287050163905,0.347897535259172,0.51669630813206,0.295276732944691,-0.188420791149886,0.475819358501575,0.140891622769733,0.276951190672446,-0.0964981184053306,0.333125230923851,0.196381164824544,0.379770262178848,"B/RG"
-0.309531011391992,0.338443041242485,0.377105333038122,0.282547695737556,-0.497171916850914,0.462914782295642,0.407641517243439,0.269058838211047,-0.259709489042129,0.328943583255895,0.0295445287618273,0.376871362396985,"B/RR"
-0.370518788101454,0.333245782662946,0.327225965958148,0.29739351390997,-0.832132848053957,0.510758202604566,0.149354216093676,0.271418006993381,0.0189736613731994,0.341539979226633,0.535097308157366,0.405031240910726,"BB/B"
